Drug,Primary targets,target_type,Therapeutic indications,cancer_type
Abemaciclib,CDK4/6,CDK inhibitor,Combination therapy with (i) an aromatase inhibitor or with (ii)fulvestrant or (iii) as a monotherapy for breast cancer,Breast cancer
Abrocitinib,JAK1,JAK inhibitor,Atopic dermatitis(Other),Other
Acalabrutinib,BTK,BTK inhibitor,Mantle cell lymphomas;CLL; SLL,Mantle cell lymphomas;CLL; SLL
Afatinib,ErbB1/2/4,ErbB inhibitor,NSCLC; squamous NSCLC,NSCLC
Alectinib,ALK;RET,ALK inhibitor; RET inhibtor,ALK-positive NSCLC,NSCLC
Asciminib,BCR-Abl,BCR-Abl inhibitor,Ph+ CML,CML
Avapritinib,PDGFRa,PDGFRα inhibitor,GIST with PDGFRa exon 18 mutations,GIST
Axitinib,VEGFR1/2/3,VEGFR inhibitor,RCC,RCC
Baricitinib,JAK1/2,JAK inhibitor,Rheumatoid arthritis(Other),Other
Belumosudil,ROCK2,ROCK inhibitor,Graft vs. host disease(Other),Other
Binimetinib,MEK1/2,MEK inhibitor,Combination therapy with encorafenib for BRAFV600E/K melanomas,Melanoma
Bosutinib,BCR-Abl,BCR-Abl inhibitor,Ph+ CML,CML
Brigatinib,ALK,ALK inhibitor,ALK-positive NSCLC,NSCLC
Cabozantinib,RET;VEGFR2,RET inhibtor; VEGFR inhibitor,Medullary thyroid cancer;RCC;HCC,Medullary thyroid cancer;RCC;HCC
Capmatinib,MET,MET inhibitor,NSCLC with MET exon 14 skipping,NSCLC
Ceritinib,ALK,ALK inhibitor,ALK-positive NSCLC resistant to crizotinib,NSCLC
Cobimetinib,MEK1/2,MEK inhibitor,BRAFV600E/K melanomas in combination with vemurafenib,Melanoma
Crizotinib,ALK;ROS1,ALK inhibitor; ROS inhibtor,ALK or ROS1-postive NSCLC;inflammatory myofibroblastic tumors;anaplastic large cell lymphoma,Melanoma;inflammatory myofibroblastic tumors;Anaplastic large cell lymphoma
