,DATASET,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,LN_IC50,AUC
0,GDSC2,687777,Calu-3,SIDM00922,LUAD,1003,Camptothecin,TOP1,DNA replication,-1.627038,0.863144
1,GDSC2,687787,LK-2,SIDM00548,LUSC,1003,Camptothecin,TOP1,DNA replication,-1.156324,0.922869
2,GDSC2,687794,NCI-H1437,SIDM00734,LUAD,1003,Camptothecin,TOP1,DNA replication,-1.838661,0.900024
3,GDSC2,687798,NCI-H1623,SIDM00747,LUAD,1003,Camptothecin,TOP1,DNA replication,-4.135667,0.687544
4,GDSC2,687799,NCI-H1648,SIDM00746,LUAD,1003,Camptothecin,TOP1,DNA replication,-1.961044,0.879432
5,GDSC2,687800,NCI-H1650,SIDM00745,LUAD,1003,Camptothecin,TOP1,DNA replication,0.137554,0.936034
6,GDSC2,687802,NCI-H1693,SIDM00742,LUAD,1003,Camptothecin,TOP1,DNA replication,0.129242,0.915946
7,GDSC2,687807,NCI-H1838,SIDM00769,LUAD,1003,Camptothecin,TOP1,DNA replication,0.699026,0.949935
8,GDSC2,687812,NCI-H2085,SIDM00709,LUAD,1003,Camptothecin,TOP1,DNA replication,0.583359,0.968221
9,GDSC2,687815,NCI-H2170,SIDM00716,LUSC,1003,Camptothecin,TOP1,DNA replication,-3.956039,0.715179
10,GDSC2,687816,NCI-H2228,SIDM00729,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.711762,0.790626
11,GDSC2,687819,NCI-H2342,SIDM00727,LUAD,1003,Camptothecin,TOP1,DNA replication,-0.111113,0.955597
12,GDSC2,687820,NCI-H2347,SIDM00726,LUAD,1003,Camptothecin,TOP1,DNA replication,0.399737,0.923395
13,GDSC2,687821,NCI-H2405,SIDM00724,LUAD,1003,Camptothecin,TOP1,DNA replication,-0.54292,0.876017
14,GDSC2,713869,VMRC-LCD,SIDM00320,LUAD,1003,Camptothecin,TOP1,DNA replication,0.926192,0.975538
15,GDSC2,722045,NCI-H2030,SIDM00715,LUAD,1003,Camptothecin,TOP1,DNA replication,0.081628,0.95086
16,GDSC2,722046,NCI-H2122,SIDM00702,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.90564,0.840697
17,GDSC2,722058,NCI-H1734,SIDM00739,LUAD,1003,Camptothecin,TOP1,DNA replication,-4.054549,0.724634
18,GDSC2,722066,NCI-H650,SIDM01124,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.658685,0.854239
19,GDSC2,724834,NCI-H2087,SIDM00708,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.691664,0.807169
20,GDSC2,724859,Calu-6,SIDM00921,LUAD,1003,Camptothecin,TOP1,DNA replication,-1.927688,0.854179
21,GDSC2,724866,NCI-H1355,SIDM00645,LUAD,1003,Camptothecin,TOP1,DNA replication,0.692193,0.951367
22,GDSC2,724868,NCI-H1792,SIDM00771,LUAD,1003,Camptothecin,TOP1,DNA replication,-3.231909,0.806595
23,GDSC2,724873,NCI-H2009,SIDM00756,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.622191,0.83015
24,GDSC2,724874,NCI-H2291,SIDM00728,LUAD,1003,Camptothecin,TOP1,DNA replication,0.497611,0.932021
25,GDSC2,724878,SW1573,SIDM01163,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.523269,0.801822
26,GDSC2,753554,EBC-1,SIDM00486,LUSC,1003,Camptothecin,TOP1,DNA replication,-4.232704,0.674516
27,GDSC2,753556,EPLC-272H,SIDM01044,LUSC,1003,Camptothecin,TOP1,DNA replication,-0.476391,0.946981
28,GDSC2,753569,KNS-62,SIDM00606,LUSC,1003,Camptothecin,TOP1,DNA replication,-1.863815,0.892694
29,GDSC2,753592,LXF-289,SIDM00339,LUAD,1003,Camptothecin,TOP1,DNA replication,-1.864337,0.905465
30,GDSC2,753600,NCI-H1563,SIDM00751,LUAD,1003,Camptothecin,TOP1,DNA replication,-0.079352,0.9645
31,GDSC2,753608,PC-14,SIDM00237,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.260841,0.860791
32,GDSC2,905941,NCI-H226,SIDM00139,LUSC,1003,Camptothecin,TOP1,DNA replication,1.253842,0.940809
33,GDSC2,905942,NCI-H23,SIDM00138,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.502499,0.871059
34,GDSC2,905944,NCI-H522,SIDM00116,LUAD,1003,Camptothecin,TOP1,DNA replication,-1.033893,0.941649
