Unnamed: 0,drug_name,target_type,target_pathway,Disease,cid,canonicalsmiles
0,Nilotinib,ABL inhibitor,ABL signaling,Chronic myelogenous leukemia (CML) ,644241,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
1,Venetoclax,BCL-2 inhibitor,Apoptosis regulation,Chronic lymphocytic leukemia (CLL),49846579,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C
2,Navitoclax,BCL2 inhibitor; BCL-XL inhibitor; BCL-W inhibitor,Apoptosis regulation,Other,24978538,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
3,RO-3306,CDK1 inhibitor,Cell cycle,Other,135400873,C1=CC2=C(C=CC(=C2)C=C3C(=O)NC(=NCC4=CC=CS4)S3)N=C1
4,Ribociclib,CDK4 inhibitor; CDK6 inhibitor,Cell cycle,Breast cancer(phase 3,44631912,CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5
5,Wee1 Inhibitor,WEE1 inhibitor; CHEK1 inhibitor,Cell cycle,Other,10384072,C1=CC=C(C(=C1)C2=CC3=C(C4=C(N3)C=CC(=C4)O)C5=C2C(=O)NC5=O)Cl
6,BI-2536,PLK1 inhibitor; PLK2 inhibitor; PLK3 inhibitor,Cell cycle,Acute myeloid leukaemia(AML)(phase 2,11364421,CCC1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C
7,AZD7762,CHEK1 inhibitor; CHEK2 inhibitor,Cell cycle,Solid tumour(phase 1,11152667,C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N
8,MK-1775,WEE1 inhibitor; PLK1 inhibitor,Cell cycle,Ovarian cancer(phase 2; Solid tumour(phase 1,24856436,CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O
9,Palbociclib,CDK4 inhibitor; CDK6 inhibitor,Cell cycle,Breast cancer ,5330286,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C
10,Vorinostat,HDAC1 inhibitor,Chromatin histone acetylation,Cutaneous T-cell lymphoma (CTCL),5311,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
11,Entinostat,HDAC1 inhibitor; HDAC3 inhibitor,Chromatin histone acetylation,Breast cancer(phase 3;Colorectal cancer(phase 2; Melanoma(phase 2; NSCLC(phase 2;Ovarian cancer(phase 2,4261,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3
12,JQ1,BRD2 inhibitor; BRD3 inhibitor; BRD4 inhibitor; BRDT inhibitor,Chromatin other,Testicular cancer(phase 1,46907787,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
13,GSK269962A,ROCK1 inhibitor; ROCK2 inhibitor,Cytoskeleton,Inflammation,16095342,CCN1C2=CC(=NC=C2N=C1C3=NON=C3N)OC4=CC=CC(=C4)NC(=O)C5=CC=C(C=C5)OCCN6CCOCC6
14,Cisplatin,DNA crosslinker,DNA replication,Solid tumour; Osteosarcoma(phase 2,5702198,N.N.Cl[Pt]Cl
15,Temozolomide,DNA alkylating agent,DNA replication,Grade IV astrocytoma,5394,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N
16,Oxaliplatin,DNA alkylating agent,DNA replication,Colorectal cancer,9887053,C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2]
17,Gemcitabine,Pyrimidine antimetabolite; RRM2 inhibitor,DNA replication,Solid tumour,60750,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
18,Irinotecan,TOP1 inhibitor,DNA replication,Colorectal cancer,60838,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7
