cid,isosmiles,canonicalsmiles
78426686,[2H]C1=C(C(=C(N=C1[2H])[2H])C2=NC(=NC(=C2[2H])[2H])NC3=C(C=CC(=C3)C(=O)NC4=CC(=CC(=C4)C(F)(F)F)N5C(=C(N=C5[2H])C)[2H])C)[2H],CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
164800819,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=NC(=NC(=N3)C4=CN=CC=C4)N5C=CN=C5,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=NC(=NC(=N3)C4=CN=CC=C4)N5C=CN=C5
89066558,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)/C(=C/N)/C=C\C=C,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C(=CN)C=CC=C
50997179,[2H]C1=C(C(=C(N=C1[2H])[2H])C2=NC(=NC=C2)NC3=C(C(=C(C(=C3)C(=O)N([2H])C4=C(C(=C(C(=C4[2H])C(F)(F)F)[2H])N5C=C(N=C5)C([2H])([2H])[2H])[2H])[2H])[2H])C)[2H],CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
50995210,[2H]C1=C(N=C(N=C1C2=CN=CC=C2)NC3=C(C=CC(=C3)C(=O)NC4=C(C(=C(C(=C4[2H])C(F)(F)F)[2H])N5C(=C(N=C5[2H])C([2H])([2H])[2H])[2H])[2H])C)[2H],CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
50995578,[2H]C1=C(C(=C(N=C1[2H])[2H])C2=NC(=NC=C2)NC3=C(C=CC(=C3)C(=O)NC4=C(C(=C(C(=C4[2H])C(F)(F)F)[2H])N5C=C(N=C5)C)[2H])C([2H])([2H])[2H])[2H],CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
135331287,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CC=CC=N5,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CC=CC=N5
67392855,CC1=C(C=C(C=C1)C(=O)NC2=C(C=C(C=C2)N3C=CN=C3C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,CC1=C(C=C(C=C1)C(=O)NC2=C(C=C(C=C2)N3C=CN=C3C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5
162606270,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C(C)C)NC4=NC=CC(=N4)C5=CN=CC=C5,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C(C)C)NC4=NC=CC(=N4)C5=CN=CC=C5
78426546,[2H]C1=C(C(=C(C(=C1C)NC2=NC(=C(C(=N2)C3=CN=CC=C3)[2H])[2H])[2H])C(=O)NC4=CC(=CC(=C4)C(F)(F)F)N5C=C(N=C5)C([2H])([2H])[2H])[2H],CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
137356468,C1CC2(C1)CCC(=C(C2)C3=CC=C(C=C3)Cl)CN4CCN(CC4)C5=CC(=C(C=C5)C(=O)NS(=O)(=O)C6=C(C=C(C(=C6)[N+](=O)[O-])NC[C@H]7COCCO7)F)OC8=CN=C9C(=C8)C=CN9,C1CC2(C1)CCC(=C(C2)C3=CC=C(C=C3)Cl)CN4CCN(CC4)C5=CC(=C(C=C5)C(=O)NS(=O)(=O)C6=C(C=C(C(=C6)[N+](=O)[O-])NCC7COCCO7)F)OC8=CN=C9C(=C8)C=CN9
155242249,CC1(CCC(=C(C1)C(=C)CCCl)CN2CCN(CC2)C3=CC(=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NCCN5CCC6(CC5)CCOC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,CC1(CCC(=C(C1)C(=C)CCCl)CN2CCN(CC2)C3=CC(=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NCCN5CCC6(CC5)CCOC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C
87279929,CN(C1CCOCC1)C2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=C(C=C(C=C3)N4CCN(CC4)CC5=C(CCC(C5)(CF)CF)C6=CC=C(C=C6)Cl)OC7=CN=C8C(=C7)C=CN8)[N+](=O)[O-],CN(C1CCOCC1)C2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=C(C=C(C=C3)N4CCN(CC4)CC5=C(CCC(C5)(CF)CF)C6=CC=C(C=C6)Cl)OC7=CN=C8C(=C7)C=CN8)[N+](=O)[O-]
123903453,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)N6CCC(CC6)OC)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)N6CCC(CC6)OC)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C
118505569,CC1=CC=C(C=C1)C2=C(CCC(C2)(C)C)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8,CC1=CC=C(C=C1)C2=C(CCC(C2)(C)C)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8
49846650,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCCOC)[N+](=O)[O-])OC6=CN=C7C(=C6)C=CN7)C,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCCOC)[N+](=O)[O-])OC6=CN=C7C(=C6)C=CN7)C
56591321,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6(CCOCC6)N)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6(CCOCC6)N)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C
146492298,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C6C(=C5)OC[C@H](N6)CC7=CC=C(C=C7)F)[N+](=O)[O-])OC8=CN=C9C(=C8)C=CN9)C,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C6C(=C5)OCC(N6)CC7=CC=C(C=C7)F)[N+](=O)[O-])OC8=CN=C9C(=C8)C=CN9)C
146482239,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NSC5=CC(=C(C=C5)NC(C6CCOCC6)(O)O)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NSC5=CC(=C(C=C5)NC(C6CCOCC6)(O)O)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C
146472552,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC6=C(C(=C5)[N+](=O)[O-])NC(C6)CCN7CCOCC7)OC8=CN=C9C(=C8)C=CN9)C,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC6=C(C(=C5)[N+](=O)[O-])NC(C6)CCN7CCOCC7)OC8=CN=C9C(=C8)C=CN9)C
145388279,CC.CCN1CCC(CC1)OC.CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NSC4=CC(=C(C=C4)NCCSC5=CC=CC=C5)S(=O)(=O)C(F)(F)F)C6=CC=C(C=C6)Cl)C,CC.CCN1CCC(CC1)OC.CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NSC4=CC(=C(C=C4)NCCSC5=CC=CC=C5)S(=O)(=O)C(F)(F)F)C6=CC=C(C=C6)Cl)C
167092881,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)CN(C)CCNC(=O)OC(C)(C)C,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)CN(C)CCNC(=O)OC(C)(C)C
87325112,C1CCC(=C(CC1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)N[C@H](CCN6CCOCC6)CSC7=CC=CC=C7)S(=O)(=O)C(F)(F)Cl,C1CCC(=C(CC1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NC(CCN6CCOCC6)CSC7=CC=CC=C7)S(=O)(=O)C(F)(F)Cl
154678908,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)CN,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)CN
155047619,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)CN8C[C@H]9C[C@@H]8CN9.Cl,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)CN8CC9CC8CN9.Cl
155047644,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)CNC(=O)O,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)CNC(=O)O
