,Nilotinib,Venetoclax,Navitoclax,RO-3306,Ribociclib,Wee1 Inhibitor,BI-2536,AZD7762,MK-1775,Palbociclib,Vorinostat,Entinostat,JQ1,GSK269962A,Cisplatin,Temozolomide,Oxaliplatin,Gemcitabine,Irinotecan,Camptothecin,Afatinib,Lapatinib,Sapitinib,Erlotinib,Dabrafenib,SCH772984,Trametinib,KU-55933,NU7441,Olaparib,Linsitinib,BMS-754807,Doramapimod,Tozasertib,ZM447439,Paclitaxel,Vinorelbine,Docetaxel,Alisertib,5-Fluorouracil,Sorafenib,Ruxolitinib,Alpelisib,Pictilisib,MK-2206,AZD6482,AZD8055,Dactolisib,Taselisib,Uprosertib,PF-4708671,OSI-027,Luminespib,Bortezomib,AZD4547,SB505124,PD173074,Axitinib,Dasatinib,Crizotinib,Galunisertib,SB216763,LGK974,Nutlin-3a (-)
Nilotinib,1.0,0.005226177494634911,0.01690807715557089,-0.1053370065480564,0.11524784942667851,0.18652400105987382,-0.038779718882638675,0.07398217794304715,-0.0334926345902614,0.0648419825055043,-0.02620794501969656,-0.020707559311241804,-0.10604985726828248,0.0856012000924862,-0.19037825026066454,-0.08028891933736607,-0.1969598462666005,-0.05261931741223465,-0.1364397806982896,-0.09114075544443181,0.08804339456924024,0.06098535403649839,0.07776604170351568,0.06623535945078726,-0.1366962601212272,0.16637316160182092,0.08374605318847995,-0.033222188086970944,-0.009980771673405983,-0.0952463810697026,-0.05459768930461713,-0.1252115813780533,0.3305258869350387,0.234120666857287,0.04953416643517351,0.0666603193686141,-0.17696250896457583,0.052434876574219164,-0.03424366751811184,-0.17409800696342828,0.49549924426612474,-0.20835151423064288,-0.07198738485655212,0.10101629055784558,-0.06854044985233033,0.07648654018161669,-0.0631862914299608,0.0054836309293247315,0.06016628165073643,-0.04366124589445487,-0.020580880470661353,-0.024450715121679838,-0.03426155921096768,-0.22996833351102453,0.13219464105681467,0.18791490137496236,0.2002385306017183,0.23326845651601177,0.6690365860414204,0.021188903916953446,0.18682162976028024,-0.1317774686109363,-0.06922371077775827,0.0018163688628575186
Venetoclax,0.005226177494634911,0.9999999999999999,0.9952896147287538,0.011700528279430595,0.0865199020864438,-0.07257799664292353,-0.0775974668579122,-0.005147304993850993,-0.19126177508434006,0.0530360368017443,0.011296620147273737,0.11705914001943252,-0.055579441173366974,-0.09492889339554324,-0.1413929310663638,-0.09480161056881939,0.0006279663558973365,-0.05477010369359563,-0.005363202624366655,0.10310522447384636,0.0983432501601005,0.09609578217571664,0.10105875998716304,0.09840075871298253,-0.11738689922967882,-0.08302366215862556,-0.0648402634536106,0.06502672095305954,0.08040461705197394,-0.06566042022359019,-0.18395900121047692,-0.14873338292806682,0.005175218991385032,-0.1301670708944501,-0.08691276779606964,-0.08424325069665228,0.08556933101036922,-0.10470012922452467,-0.09246515251961951,-0.08039938589935436,-0.06715551994631022,-0.05231861257762758,-0.0495644813036966,-0.13039611645354607,-0.1467055662002516,-0.1496206468251987,-0.04259628286828305,-0.011498000397466568,-0.15004284428533635,-0.1034414986076904,-0.066977821750073,-0.2489913888196657,0.4695202721831143,0.06756192144119241,0.021281985373155305,-0.020812604868337845,-0.04855248761692818,0.0371139388918533,-0.05471807431852278,0.016497374776688258,-0.020156781686786793,-0.04905098179844773,-0.09504552668306222,0.3475541093352389
Navitoclax,0.01690807715557089,0.9952896147287538,0.9999999999999999,0.011091502110690026,0.07606684231653663,-0.07118497102499041,-0.08700831984167147,-0.012125709855129573,-0.201097489894745,0.04229789421735189,-0.005552598916562682,0.10558781101553769,-0.06549551299524485,-0.09021632412389849,-0.14389702665044043,-0.09840503262649647,-0.009195101775303086,-0.046167876105616366,-0.0017294865878652761,0.10861951496420147,0.08855458571144934,0.08618006734771334,0.09123252123617115,0.08853583219829261,-0.1255193746032625,-0.09240949172438828,-0.0637350977134825,0.05621677585344105,0.07217019474504743,-0.05557250507223216,-0.191892938292279,-0.15788490558075272,-0.0020641765486800814,-0.12957025631734503,-0.08795962999987622,-0.07822326665847874,0.08716430304734923,-0.09951106415704146,-0.09771814782585575,-0.08221846038327324,-0.07081325993683205,-0.06170640065422488,-0.04562134949077341,-0.12224722091776015,-0.15778936265060928,-0.14154430245528996,-0.05353848373516004,-0.021741780371788963,-0.14205655556878935,-0.11428617960306063,-0.059576956322793646,-0.2537921459026612,0.45668715136602067,0.058805147683427955,0.020733565052591395,-0.012809888530394777,-0.04783514507462153,0.038387204746329756,-0.04463376592535659,0.009238396906586527,-0.012218155612926614,-0.04720579950883373,-0.08342741024542157,0.3335747357426449
RO-3306,-0.1053370065480564,0.011700528279430595,0.011091502110690026,1.0,0.5049778578169472,0.49639466212735905,0.38693522685695403,0.4645587064559431,0.3567168709562514,0.5960137929307261,-0.06551104574666096,-0.22233519874071425,0.18470004032675602,0.02113930579499215,-0.11708584949311081,-0.13891924930786465,-0.045731586381580376,-0.018778163552346766,0.27533485273072034,0.4815892530552406,0.14408541292261184,0.13829184569424163,0.12269354303877222,0.12858591513513457,0.5170239140247488,0.3443767093943176,0.4445685764541392,0.24493611839892265,0.2525063439470408,0.1050779445515031,0.2991621938322061,0.27803759730826955,0.12873630694828156,0.44057723359830747,0.32934424000454915,0.2398407231923375,0.1496105732909913,0.28194929577303973,0.4350016513591869,0.13702295046079707,0.02451144714807623,0.32897907945395133,0.15647133093630855,0.19157237173578784,-0.05199427111026871,0.18465413425195043,-0.023973052671694924,0.08001423608047525,0.20452486272119863,-0.11411955891408208,0.28953352115209685,0.3676817292058374,0.18077741421932397,-0.17419427670315757,-0.20934040739474127,-0.08112482522160537,-0.12081429009051592,0.4070517833786068,0.049764163504944975,0.08330723477812539,-0.0846339874825291,0.20550018590690639,0.01297451409666285,0.01858386763298141
Ribociclib,0.11524784942667851,0.0865199020864438,0.07606684231653663,0.5049778578169472,1.0,0.16174054504079438,0.24096433481194884,0.6861805924144984,0.006967521956621703,0.9507771728936953,-0.028616676827997033,-0.10335839160907764,0.11721299177043039,-0.04427554103779988,-0.09047118321228453,-0.20572969719861306,-0.04841633223305605,-0.10455008562761306,0.04980367151456656,0.2825121155507835,0.021185736308762606,0.02773405209187637,0.014798958485081549,0.02119166773495248,0.3598226180701508,0.5383327469869186,0.38017939460811656,0.3396072648320749,0.34445773415193787,-0.11234517894960352,-0.07432060204741922,-0.0009882578594490737,0.027381235836329613,0.2840358078837755,0.1235347245414415,0.0626922294535624,-0.10286573268347654,0.08964269396117787,0.1988688506562788,0.02768683324528559,0.063478351913986,0.07025107779788381,0.15283546982501361,0.03166007607643172,-0.09514988779793633,0.03835768131475416,0.07946025954219677,0.19664882196993017,-0.010303868086175616,-0.11122212458302135,0.08598925124020473,-0.007039542484861272,0.08329530852090411,-0.07661527165106997,-0.1291264738021091,-0.08964111346245289,-0.14975656512473337,0.29561549553738575,0.0676029537153801,0.06206921356281817,-0.08966880945291805,0.014444995004761076,-0.14230618151449861,0.009489686820950412
Wee1 Inhibitor,0.18652400105987382,-0.07257799664292353,-0.07118497102499041,0.49639466212735905,0.16174054504079438,1.0,-0.16053395155166966,0.3189985392058162,0.24628378246579796,0.2037480067256548,-0.03401390286707151,-0.13397106852638763,0.16161110663891776,0.10735236942859903,0.19297571655189208,-0.060639048114461525,0.258079835954272,0.0516653840694498,0.480156909694505,0.6146898090644024,0.2416193202170407,0.22856044252068014,0.22066695179191015,0.2248263165748805,0.19416848762501496,0.17209614375729634,0.36362291152310644,0.1555707435823561,0.22147951800853247,0.08945831147060243,0.30309486928976576,0.1341349302515809,0.2298192662766253,0.4217360673310163,0.23186499098742253,0.597412340507115,0.012989296722419254,0.6107751591215508,0.23936556208681561,0.394973136236111,0.4990818885291172,-0.06584316275460993,-0.1412426214943311,-0.1903122998356853,-0.16518252565975422,-0.22348496109112087,-0.08477027038772063,-0.031101448833854448,-0.2121147139818229,-0.15033696244286293,0.4189048080183039,0.46046404122890283,0.3026504571235209,-0.05014554594310518,-0.08951632151414297,0.2456450377860244,-0.009317500406381587,0.40080222049726916,0.20362212345971076,0.012038537509649186,0.24102158504248064,0.3536178791884754,0.1468088853287603,-0.0003921297688439518
BI-2536,-0.038779718882638675,-0.0775974668579122,-0.08700831984167147,0.38693522685695403,0.24096433481194884,-0.16053395155166966,1.0,0.09878714230536237,0.25364413788429063,0.2306816091461019,-0.09398391413037732,-0.11631687418804076,0.31934266308695086,-0.15427407032137225,-0.10437192748056079,-0.1288328108134866,-0.057550065486818805,-0.1970776134353432,-0.16772349620852423,-0.08805725512231863,0.03368425994580304,0.030762229278793077,0.03031415962028333,0.03296913548441148,0.2348930073249923,0.07597886451347396,0.23130649634702166,0.15875654505167447,0.1588068887945193,-0.1142869179302757,0.20003781362608658,0.24717671444880535,0.018050241142515334,0.022194057133538968,0.05645534172755447,-0.10309748301287772,-0.05776807073308887,-0.08305769630338514,0.12061603188177114,-0.1674424066734972,-0.18685928832884496,0.26494974391453385,0.34308119351597866,0.4384868533031261,0.005891894581594795,0.48106962166997946,0.045574330901742774,0.100130234401622,0.4727379321995874,-0.04682709784828194,-0.14346755252065838,0.09505641527532306,-0.0014621122107116823,-0.20291827184725703,-0.005650310279598281,-0.18125291825952813,-0.01905370913549715,0.08031222707489968,-0.08829414525730234,0.2207527106215959,-0.18245696978417894,-0.19520607655598105,-0.14463171139131864,0.15316849286051143
AZD7762,0.07398217794304715,-0.005147304993850993,-0.012125709855129573,0.4645587064559431,0.6861805924144984,0.3189985392058162,0.09878714230536237,1.0,-0.00491051768594504,0.7400700955539008,-0.150208802242506,-0.12610126123109128,0.061837256662646826,0.10365862804967571,-0.09914732317037046,-0.13683396102015047,-0.028001789225478843,-0.063785713061842,0.13700616071174712,0.4153575215733346,-0.03573653592842019,-0.03759777852348701,-0.04632987124576619,-0.040595958392497036,0.5199378205761297,0.4493669536808859,0.6060952128035839,0.610780080735025,0.6094159271423257,-0.06837895047435691,-0.030746648193900272,-0.02382519731433412,-0.06626325949137964,0.5821989757345194,0.45985080339170437,0.16806413242201373,-0.07143042685774112,0.18969186895042364,0.5136977277364974,0.05256516164999814,0.21020074376213357,-0.11770122632370908,0.19412271520292074,-0.040593004683210115,0.06233444259205063,-0.05249140488331686,0.22380732908978174,0.32940536457300656,-0.07410227311395678,0.024660928165512738,0.28641222103871483,0.14622162165277855,0.1063646510777636,-0.09085318154965878,-0.13428897225737468,-0.07823591096998114,-0.11635782687020961,0.44066157263812905,0.15535236846707212,0.014675467652430682,-0.08018092173757371,0.19143393354089167,-0.042610604655817064,0.05457053532195616
MK-1775,-0.0334926345902614,-0.19126177508434006,-0.201097489894745,0.3567168709562514,0.006967521956621703,0.24628378246579796,0.25364413788429063,-0.00491051768594504,1.0,0.10833813263551774,-0.13634598462908504,-0.01049586354403018,0.05867392870682924,-0.007937552085571512,-0.06151144726647179,-0.0908374143974201,-0.05727287756621778,0.030514747554522895,-0.031403014131110046,0.02637807628176235,0.34547620664961853,0.3252764456964409,0.32158796895054753,0.32151032022113557,0.19380155226818396,-0.0594798856853552,0.00023414008748343096,-0.1877310698077318,-0.17620216749326778,-0.008976863895814535,0.9170471890743274,0.8803228160494089,0.08096440406414217,0.409254352611648,0.2926219318579873,0.29025092454486623,-0.12234388123989441,0.2923902508774862,0.28296129039649,0.007074713750281417,0.10672147349330302,0.5189060066556574,-0.08373029365503,0.01269767879151884,0.03278480073831097,-0.001400165513371271,-0.17507287944375943,-0.1355092917038091,0.02487440779891531,-0.056185439464701774,0.25209007848066217,0.7202077334417459,-0.03776606242551869,-0.20113680948520044,0.39293853706078163,0.1504198224574804,0.4679903871635237,0.5276279138223041,0.2586271318222634,0.5368292327715147,0.14692337386304916,-0.08031960661666532,-0.07548955268417785,-0.19754113661928258
Palbociclib,0.0648419825055043,0.0530360368017443,0.04229789421735189,0.5960137929307261,0.9507771728936953,0.2037480067256548,0.2306816091461019,0.7400700955539008,0.10833813263551774,0.9999999999999998,-0.07615197747854455,-0.10910947660528053,0.1059737365014199,0.021341774853858263,-0.11719085733386181,-0.21063762798974156,-0.08048138904134863,-0.0714724769392664,0.0743058917135668,0.32960581009315254,0.0011016142780767603,0.005864521628542233,-0.006794876530774936,-0.0005193439107706536,0.4466794685581758,0.5922007474850377,0.3813341329000811,0.3344289496644204,0.32542246392128266,-0.11241352274056636,0.009903506860045878,0.07712748240396339,0.055049443575261495,0.4245882291893465,0.2550606673109768,0.04840572272845042,-0.07776301443514289,0.08723982295105992,0.34341511573610906,0.03179188518698567,0.05833847607916904,0.14197264083346137,0.12583088523916142,-0.007597858611298242,-0.04448891033116144,-0.002986510072267419,0.04470887528973998,0.16609259485987862,-0.045642605131772554,-0.0675606458542001,0.15009342395670378,0.08733848057447337,0.07815934877893504,-0.10000601094330533,-0.1569309464229411,-0.11949399474783545,-0.16013840110047756,0.35116681186471826,0.1008809593368278,0.016561261505730018,-0.11941896822727982,0.08803186181003055,-0.12107966592124378,0.011170075017438785
