source,target,coeff,pathway,similarity
Wee1 Inhibitor,Palbociclib,1.0,Cell cycle,0.20374800346621724
Wee1 Inhibitor,RO-3306,1.0,Cell cycle,0.49639472509776883
Wee1 Inhibitor,AZD7762,1.0,Cell cycle,0.3189985306738072
Wee1 Inhibitor,MK-1775,1.0,Cell cycle,0.24628375250127624
Wee1 Inhibitor,BI-2536,1.0,Cell cycle,-0.1605339163194564
Wee1 Inhibitor,Ribociclib,1.0,Cell cycle,0.16174053439941063
Palbociclib,RO-3306,1.0,Cell cycle,0.5960138011473248
Palbociclib,AZD7762,1.0,Cell cycle,0.7400701542516663
Palbociclib,MK-1775,1.0,Cell cycle,0.10833807924941444
Palbociclib,BI-2536,1.0,Cell cycle,0.2306816027955079
Palbociclib,Ribociclib,1.0,Cell cycle,0.9507771782804185
RO-3306,AZD7762,1.0,Cell cycle,0.4645587948524053
RO-3306,MK-1775,1.0,Cell cycle,0.35671688179911887
RO-3306,BI-2536,1.0,Cell cycle,0.3869351653853986
RO-3306,Ribociclib,1.0,Cell cycle,0.5049778621279988
AZD7762,MK-1775,1.0,Cell cycle,-0.004910493781531938
AZD7762,BI-2536,1.0,Cell cycle,0.09878715985254333
AZD7762,Ribociclib,1.0,Cell cycle,0.6861806329467087
MK-1775,BI-2536,1.0,Cell cycle,0.2536441379235144
MK-1775,Ribociclib,1.0,Cell cycle,0.006967492780103578
BI-2536,Ribociclib,1.0,Cell cycle,0.24096433140347637
135950088,RO-3306,2.0,Cell cycle,0.6873145944426756
136152796,RO-3306,2.0,Cell cycle,0.5042246184741863
137238354,RO-3306,2.0,Cell cycle,0.6936329875140128
135949404,RO-3306,2.0,Cell cycle,0.6936329875140128
122540124,RO-3306,2.0,Cell cycle,0.7472373034132687
136648867,RO-3306,2.0,Cell cycle,0.7729317437529508
135400873,RO-3306,2.0,Cell cycle,0.9999999999999757
136652337,RO-3306,2.0,Cell cycle,0.7426743564288673
135508276,RO-3306,2.0,Cell cycle,0.7426743564288673
137212781,RO-3306,2.0,Cell cycle,0.5042246184741863
58315463,Ribociclib,2.0,Cell cycle,0.9706558049736238
89798191,Ribociclib,2.0,Cell cycle,0.8923433936827493
142305441,Ribociclib,2.0,Cell cycle,0.8517026323566628
86304986,Ribociclib,2.0,Cell cycle,0.8612969266119846
134359656,Ribociclib,2.0,Cell cycle,0.5601969085108707
58315466,Ribociclib,2.0,Cell cycle,0.7669491672316586
126570362,Ribociclib,2.0,Cell cycle,0.920183364996819
58315399,Ribociclib,2.0,Cell cycle,0.9958443495022596
144708287,Ribociclib,2.0,Cell cycle,0.6931712824911369
77396193,Ribociclib,2.0,Cell cycle,0.6684046529225858
21980730,Wee1 Inhibitor,2.0,Cell cycle,0.6494939335772101
69583911,Wee1 Inhibitor,2.0,Cell cycle,0.7215367612815005
11843291,Wee1 Inhibitor,2.0,Cell cycle,0.8074930379260581
44593194,Wee1 Inhibitor,2.0,Cell cycle,0.8208470377727652
10318616,Wee1 Inhibitor,2.0,Cell cycle,0.7611786453152192
10384072,Wee1 Inhibitor,2.0,Cell cycle,0.9999999999999994
21980842,Wee1 Inhibitor,2.0,Cell cycle,0.6171135716632937
21980668,Wee1 Inhibitor,2.0,Cell cycle,0.9180620624713994
11740347,Wee1 Inhibitor,2.0,Cell cycle,0.7416399593785645
21980718,Wee1 Inhibitor,2.0,Cell cycle,0.7273872874831868
144251251,BI-2536,2.0,Cell cycle,0.997353742551851
124015146,BI-2536,2.0,Cell cycle,0.9393558126122579
156882657,BI-2536,2.0,Cell cycle,0.9923568202241488
140200184,BI-2536,2.0,Cell cycle,0.9873121743545517
44466165,BI-2536,2.0,Cell cycle,0.9065554033863881
11656864,BI-2536,2.0,Cell cycle,0.9720508843037994
11387228,BI-2536,2.0,Cell cycle,0.5182183426861584
155525411,BI-2536,2.0,Cell cycle,0.937808009585292
68829249,BI-2536,2.0,Cell cycle,0.9510079155226523
53389577,BI-2536,2.0,Cell cycle,0.9962528865433663
67077955,AZD7762,2.0,Cell cycle,0.9557069808874894
16041610,AZD7762,2.0,Cell cycle,1.0
67077172,AZD7762,2.0,Cell cycle,0.9933137059988077
67077124,AZD7762,2.0,Cell cycle,0.9546174678006922
122705889,AZD7762,2.0,Cell cycle,0.994495268971435
145355251,AZD7762,2.0,Cell cycle,0.9243225696755761
56965906,AZD7762,2.0,Cell cycle,0.996903164275842
67077825,AZD7762,2.0,Cell cycle,1.0
70695150,AZD7762,2.0,Cell cycle,0.8780363579978815
11440387,AZD7762,2.0,Cell cycle,0.7969613837955136
25064693,MK-1775,2.0,Cell cycle,0.9746919313153524
139315204,MK-1775,2.0,Cell cycle,0.9146143398006653
59555962,MK-1775,2.0,Cell cycle,0.8816005192463046
67170857,MK-1775,2.0,Cell cycle,0.9034769609567994
155207514,MK-1775,2.0,Cell cycle,0.5175737717540345
67170187,MK-1775,2.0,Cell cycle,0.9507206760108375
162774633,MK-1775,2.0,Cell cycle,0.9498891327649073
155132076,MK-1775,2.0,Cell cycle,0.6316268377982746
87295186,MK-1775,2.0,Cell cycle,0.9194025521898985
59555908,MK-1775,2.0,Cell cycle,0.8612806104683228
144762764,Palbociclib,2.0,Cell cycle,0.9621761055278513
86297598,Palbociclib,2.0,Cell cycle,0.9999999999999968
155244210,Palbociclib,2.0,Cell cycle,0.9889736238330058
76974685,Palbociclib,2.0,Cell cycle,0.9999999999999968
145330785,Palbociclib,2.0,Cell cycle,0.9772200042190013
164813612,Palbociclib,2.0,Cell cycle,0.8607317931213859
164623276,Palbociclib,2.0,Cell cycle,0.9722670084801847
164620548,Palbociclib,2.0,Cell cycle,0.9760957789864302
145063319,Palbociclib,2.0,Cell cycle,0.9890803293021115
86297199,Palbociclib,2.0,Cell cycle,0.9999999999999968
