,Tissue,Cell line,SIDM,COSMIC ID,Replicate cell line,In validation screen,PAM50,CRIS,MSI status,TP53,KRAS,BRAF,PIK3CA,PTEN,Supplier:Cat.No.,Growth Properties,Screen Media,Seeding Density 1536well
0,Breast,AU565,SIDM00898,910704,yes,yes,Her2,,MSS,mut,wt,wt,wt,wt,ATCC:CRL-2351,Adherent,RPMI,500
1,Breast,BT-20,SIDM00893,906801,no,yes,Basal,,MSS,mut,wt,wt,mut,wt,ATCC:HTB-19,Adherent,DMEM/F12,1250
2,Breast,BT-474,SIDM00963,946359,yes,yes,LumA,,MSS,mut,wt,wt,mut,wt,DSMZ:ACC-64,Adherent,RPMI,1250
3,Breast,BT-483,SIDM00892,949093,no,no,LumA,,MSS,mut,wt,wt,mut,wt,ATCC:HTB-121,Adherent,RPMI,1250
4,Breast,BT-549,SIDM00122,905951,no,yes,Basal,,MSS,mut,wt,wt,wt,mut,NCI:BT-549,Adherent,RPMI,625
5,Breast,CAL-120,SIDM00940,906826,no,yes,Basal,,MSS,mut,wt,wt,wt,wt,DSMZ:ACC-459,Adherent,DMEM/F12,150
6,Breast,CAL-148,SIDM00938,924106,no,yes,Her2,,MSS,mut,wt,wt,mut,mut,DSMZ:ACC-460,Suspension,DMEM/F12,600
7,Breast,CAL-51,SIDM00933,910927,no,yes,Basal,,MSS,wt,wt,wt,mut,mut,DSMZ:ACC-302,Adherent,DMEM/F12,300
8,Breast,CAL-85-1,SIDM00928,910852,yes,yes,Basal,,MSS,mut,wt,wt,wt,wt,DSMZ:ACC-440,Adherent,DMEM/F12,400
9,Breast,CAMA-1,SIDM00920,946382,no,no,LumB,,MSS,mut,wt,wt,wt,mut,ATCC:HTB-21,Adherent,DMEM/F12,625
10,Breast,COLO-824,SIDM00954,906812,no,yes,Basal,,MSS,mut,wt,wt,wt,wt,DSMZ:ACC-200,Semi Adherent,RPMI,800
