ANCHOR_NAME,LIBRARY_NAME,SIDM,Synergy
Taselisib,AZD6482,SIDM00628,True
MK-2206,SCH772984,SIDM00928,True
Navitoclax,Alisertib,SIDM00892,True
Lapatinib,NU7441,SIDM00971,True
Vorinostat,PD173074,SIDM00877,True
Taselisib,ZM447439,SIDM00528,True
Sapitinib,Alpelisib,SIDM01186,True
Vorinostat,Doramapimod,SIDM00879,True
Vorinostat,NU7441,SIDM00877,True
Sapitinib,Navitoclax,SIDM00774,True
Navitoclax,Vorinostat,SIDM00675,True
Navitoclax,Alisertib,SIDM00940,True
Sapitinib,OSI-027,SIDM01187,True
Trametinib,ZM447439,SIDM00928,True
MK-2206,Afatinib,SIDM00148,True
Axitinib,Alpelisib,SIDM00562,True
Vorinostat,Trametinib,SIDM01187,True
Pictilisib,PD173074,SIDM00630,True
Linsitinib,Lapatinib,SIDM00885,True
MK-2206,Lapatinib,SIDM00528,True
Vorinostat,ZM447439,SIDM00877,True
Navitoclax,Axitinib,SIDM00938,True
Navitoclax,OSI-027,SIDM00877,True
Taselisib,Alisertib,SIDM01037,True
Navitoclax,Lapatinib,SIDM01056,True
Navitoclax,ZM447439,SIDM00332,True
OSI-027,Palbociclib,SIDM00675,True
Navitoclax,Linsitinib,SIDM01186,True
Linsitinib,MK-2206,SIDM00628,True
Linsitinib,Axitinib,SIDM00529,True
OSI-027,Alpelisib,SIDM01001,True
Linsitinib,Sorafenib,SIDM00892,True
Linsitinib,Afatinib,SIDM00148,True
Vorinostat,PF-4708671,SIDM00879,True
Navitoclax,Tozasertib,SIDM00881,True
Taselisib,Navitoclax,SIDM01056,True
Navitoclax,Lapatinib,SIDM00882,True
Trametinib,Alisertib,SIDM00148,True
Navitoclax,SB216763,SIDM01001,True
Navitoclax,SCH772984,SIDM00893,True
MK-2206,OSI-027,SIDM00933,True
MK-2206,Taselisib,SIDM00774,True
Linsitinib,SCH772984,SIDM01186,True
OSI-027,Palbociclib,SIDM00146,True
Navitoclax,PF-4708671,SIDM00528,True
Navitoclax,Doramapimod,SIDM00877,True
Taselisib,PD173074,SIDM00774,True
Navitoclax,ZM447439,SIDM00933,True
Navitoclax,Lapatinib,SIDM01002,True
Taselisib,Linsitinib,SIDM01056,True
Navitoclax,Trametinib,SIDM01062,True
MK-2206,PF-4708671,SIDM00097,True
Axitinib,Ribociclib,SIDM01001,True
Taselisib,KU-55933,SIDM00631,True
Taselisib,Sapitinib,SIDM00628,True
MK-2206,Nilotinib,SIDM00528,True
Vorinostat,KU-55933,SIDM00877,True
Navitoclax,Pictilisib,SIDM00562,True
Axitinib,Doramapimod,SIDM00148,True
Navitoclax,PD173074,SIDM00332,True
PD173074,Trametinib,SIDM00954,True
Pictilisib,Sapitinib,SIDM00872,True
Linsitinib,SCH772984,SIDM00928,True
MK-2206,Sapitinib,SIDM00774,True
Taselisib,KU-55933,SIDM00933,True
Navitoclax,Crizotinib,SIDM00241,True
Navitoclax,GSK269962A,SIDM00630,True
Axitinib,Uprosertib,SIDM01001,True
Navitoclax,Sapitinib,SIDM01037,True
Palbociclib,Sapitinib,SIDM00954,True
Lapatinib,Trametinib,SIDM00878,True
Navitoclax,SCH772984,SIDM00881,True
Vorinostat,ZM447439,SIDM01042,True
Navitoclax,SCH772984,SIDM00633,True
Axitinib,OSI-027,SIDM00866,True
Linsitinib,PD173074,SIDM01001,True
Vorinostat,Navitoclax,SIDM00877,True
Lapatinib,Taselisib,SIDM01001,True
Navitoclax,Axitinib,SIDM01062,True
MK-2206,Navitoclax,SIDM00633,True
Navitoclax,Alisertib,SIDM00920,True
Navitoclax,Taselisib,SIDM00882,True
