ANCHOR_NAME,LIBRARY_NAME,SIDM,Synergy
Taselisib,MK-2206,SIDM00488,True
Vinorelbine,Navitoclax,SIDM00781,True
SCH772984,MK-2206,SIDM00779,True
Vinorelbine,Linsitinib,SIDM00488,True
SB505124,SCH772984,SIDM00832,True
Sapitinib,Linsitinib,SIDM00534,True
Sapitinib,Taselisib,SIDM00834,True
Taselisib,SCH772984,SIDM00782,True
SB216763,Vinorelbine,SIDM00534,True
Taselisib,SCH772984,SIDM00783,True
Linsitinib,Palbociclib,SIDM00660,True
MK-2206,Afatinib,SIDM00944,True
Afatinib,BMS-754807,SIDM01233,True
BMS-754807,Sapitinib,SIDM00789,True
Sapitinib,Linsitinib,SIDM00216,True
Trametinib,MK-2206,SIDM00216,True
SB505124,Vinorelbine,SIDM01233,True
Navitoclax,SB216763,SIDM00118,True
Afatinib,Linsitinib,SIDM00487,True
BMS-754807,Navitoclax,SIDM00118,True
Afatinib,Vinorelbine,SIDM00534,True
SB505124,MK-2206,SIDM00677,True
BMS-754807,Sapitinib,SIDM00537,True
MK-2206,Palbociclib,SIDM00681,True
Vinorelbine,Afatinib,SIDM00842,True
SCH772984,Taselisib,SIDM00534,True
BMS-754807,Trametinib,SIDM00660,True
Trametinib,Sapitinib,SIDM00837,True
BMS-754807,Sapitinib,SIDM00826,True
Navitoclax,BMS-754807,SIDM00660,True
MK-2206,Trametinib,SIDM00835,True
Linsitinib,Sapitinib,SIDM00957,True
MK-2206,Sapitinib,SIDM00789,True
Linsitinib,Navitoclax,SIDM00541,True
Afatinib,MK-2206,SIDM00214,True
MK-2206,Vinorelbine,SIDM01197,True
Crizotinib,Navitoclax,SIDM00783,True
SCH772984,Afatinib,SIDM00812,True
Vinorelbine,Afatinib,SIDM00193,True
Taselisib,Navitoclax,SIDM00214,True
Palbociclib,MK-2206,SIDM00837,True
MK-2206,Palbociclib,SIDM00660,True
SCH772984,Taselisib,SIDM00834,True
MK-2206,Sapitinib,SIDM00487,True
Crizotinib,Sapitinib,SIDM00534,True
Crizotinib,Trametinib,SIDM00789,True
SCH772984,Navitoclax,SIDM00660,True
SCH772984,Afatinib,SIDM00680,True
Vinorelbine,Sapitinib,SIDM00842,True
MK-2206,Afatinib,SIDM00842,True
Taselisib,Linsitinib,SIDM00660,True
Taselisib,Trametinib,SIDM00488,True
Sapitinib,Linsitinib,SIDM00049,True
Navitoclax,Vinorelbine,SIDM00778,True
Vinorelbine,SB216763,SIDM00537,True
Crizotinib,SB216763,SIDM00534,True
SB216763,SCH772984,SIDM00534,True
MK-2206,Linsitinib,SIDM00118,True
Navitoclax,Linsitinib,SIDM00216,True
