ANCHOR_NAME,LIBRARY_NAME,SIDM,Synergy
Navitoclax,Crizotinib,SIDM00130,True
Navitoclax,Linsitinib,SIDM00899,True
Palbociclib,Lapatinib,SIDM00505,True
Dasatinib,Trametinib,SIDM00130,True
Taselisib,Dasatinib,SIDM01138,True
OSI-027,SCH772984,SIDM00531,True
Crizotinib,Erlotinib,SIDM00531,True
Taselisib,SCH772984,SIDM01138,True
Taselisib,Dasatinib,SIDM00582,True
Trametinib,MK-2206,SIDM00950,True
SCH772984,Dasatinib,SIDM00670,True
Lapatinib,Sorafenib,SIDM00950,True
SCH772984,Linsitinib,SIDM00582,True
SCH772984,OSI-027,SIDM01137,True
SCH772984,Navitoclax,SIDM00899,True
Navitoclax,Lapatinib,SIDM00943,True
Lapatinib,Crizotinib,SIDM00453,True
Dasatinib,Trametinib,SIDM00943,True
Taselisib,SCH772984,SIDM01137,True
Trametinib,Dasatinib,SIDM00571,True
Dasatinib,Linsitinib,SIDM00132,True
OSI-027,MK-2206,SIDM00571,True
Navitoclax,Crizotinib,SIDM00582,True
Crizotinib,Lapatinib,SIDM00042,True
Palbociclib,MK-2206,SIDM00132,True
Trametinib,Taselisib,SIDM00934,True
Trametinib,Dasatinib,SIDM00411,True
Paclitaxel,Navitoclax,SIDM00582,True
OSI-027,Trametinib,SIDM00950,True
Navitoclax,Taselisib,SIDM00899,True
Taselisib,Dasatinib,SIDM00371,True
Dasatinib,Taselisib,SIDM00301,True
OSI-027,MK-2206,SIDM00664,True
SCH772984,OSI-027,SIDM00469,True
Trametinib,OSI-027,SIDM00670,True
SCH772984,Linsitinib,SIDM00670,True
SCH772984,Navitoclax,SIDM00934,True
Dasatinib,Taselisib,SIDM00533,True
Lapatinib,Navitoclax,SIDM00411,True
Taselisib,Trametinib,SIDM00411,True
Navitoclax,SCH772984,SIDM00943,True
Taselisib,Palbociclib,SIDM00469,True
SCH772984,Lapatinib,SIDM00533,True
OSI-027,SCH772984,SIDM00042,True
Dasatinib,Crizotinib,SIDM00950,True
Navitoclax,Erlotinib,SIDM00531,True
Lapatinib,SCH772984,SIDM00132,True
Trametinib,MK-2206,SIDM00455,True
Palbociclib,SCH772984,SIDM00531,True
Crizotinib,Dasatinib,SIDM00670,True
OSI-027,Erlotinib,SIDM00453,True
MK-2206,Dasatinib,SIDM00950,True
Dasatinib,Trametinib,SIDM00531,True
Linsitinib,Erlotinib,SIDM00411,True
Lapatinib,MK-2206,SIDM00411,True
Dasatinib,Linsitinib,SIDM00950,True
Lapatinib,Trametinib,SIDM00130,True
Palbociclib,MK-2206,SIDM00670,True
Navitoclax,Ruxolitinib,SIDM00582,True
Trametinib,Navitoclax,SIDM00132,True
Erlotinib,Taselisib,SIDM00531,True
Crizotinib,Dasatinib,SIDM00582,True
OSI-027,Crizotinib,SIDM00571,True
Dasatinib,Lapatinib,SIDM00943,True
SCH772984,MK-2206,SIDM00132,True
SCH772984,Erlotinib,SIDM01137,True
Dasatinib,Linsitinib,SIDM01139,True
Linsitinib,SCH772984,SIDM00670,True
Navitoclax,Crizotinib,SIDM00453,True
OSI-027,Dasatinib,SIDM00950,True
Linsitinib,Erlotinib,SIDM00531,True
SCH772984,Taselisib,SIDM00371,True
OSI-027,MK-2206,SIDM00130,True
Dasatinib,Linsitinib,SIDM00469,True
