ANCHOR_NAME,LIBRARY_NAME,SIDM,Synergy
Taselisib,Palbociclib,SIDM00660,True
Navitoclax,Linsitinib,SIDM01136,True
Linsitinib,MK-2206,SIDM00488,True
Afatinib,BMS-754807,SIDM00660,True
Linsitinib,Venetoclax,SIDM00877,True
Lapatinib,Trametinib,SIDM01138,True
Taselisib,Trametinib,SIDM00583,True
MK-2206,KU-55933,SIDM00241,True
Lapatinib,Crizotinib,SIDM01165,True
Linsitinib,MK-2206,SIDM00628,True
Navitoclax,Axitinib,SIDM00920,True
Navitoclax,Crizotinib,SIDM00533,True
MK-2206,Afatinib,SIDM00528,True
Navitoclax,OSI-027,SIDM00582,True
Sorafenib,Linsitinib,SIDM00042,True
Navitoclax,SCH772984,SIDM00455,True
Crizotinib,Sapitinib,SIDM00781,True
Vorinostat,AZD6482,SIDM00135,True
Navitoclax,Uprosertib,SIDM01062,True
Navitoclax,Doramapimod,SIDM01001,True
Navitoclax,Alisertib,SIDM01062,True
Lapatinib,MK-2206,SIDM00505,True
Lapatinib,Crizotinib,SIDM01186,True
Navitoclax,Alisertib,SIDM00146,True
Crizotinib,SCH772984,SIDM00837,True
Navitoclax,Trametinib,SIDM01062,True
Linsitinib,Dasatinib,SIDM00130,True
Taselisib,Navitoclax,SIDM00892,True
OSI-027,Linsitinib,SIDM00899,True
Pictilisib,OSI-027,SIDM00882,True
Navitoclax,Sorafenib,SIDM00875,True
Linsitinib,Sapitinib,SIDM00148,True
Sapitinib,Linsitinib,SIDM00214,True
Trametinib,MK-2206,SIDM00488,True
Paclitaxel,Linsitinib,SIDM00042,True
OSI-027,Venetoclax,SIDM00241,True
Navitoclax,SB216763,SIDM00534,True
Trametinib,Navitoclax,SIDM00673,True
Lapatinib,Crizotinib,SIDM01037,True
SCH772984,MK-2206,SIDM00371,True
SCH772984,Taselisib,SIDM01090,True
Taselisib,Trametinib,SIDM00680,True
MK-2206,Taselisib,SIDM00241,True
Taselisib,Trametinib,SIDM00772,True
Paclitaxel,Navitoclax,SIDM00571,True
Linsitinib,GSK269962A,SIDM01001,True
SCH772984,MK-2206,SIDM00934,True
Lapatinib,Navitoclax,SIDM00505,True
Lapatinib,Crizotinib,SIDM00097,True
Lapatinib,Navitoclax,SIDM00132,True
OSI-027,Vorinostat,SIDM01037,True
Sapitinib,Crizotinib,SIDM01062,True
PD173074,Sapitinib,SIDM01001,True
Navitoclax,Taselisib,SIDM00660,True
MK-2206,Sapitinib,SIDM00214,True
Navitoclax,Sorafenib,SIDM00469,True
Navitoclax,ZM447439,SIDM01042,True
Taselisib,Trametinib,SIDM01137,True
Trametinib,MK-2206,SIDM01165,True
Trametinib,Uprosertib,SIDM01037,True
Dactolisib,Linsitinib,SIDM00042,True
Navitoclax,Tozasertib,SIDM00146,True
MK-2206,ZM447439,SIDM00933,True
Taselisib,Alisertib,SIDM00148,True
MK-2206,Erlotinib,SIDM01165,True
Pictilisib,Trametinib,SIDM00146,True
OSI-027,Taselisib,SIDM00571,True
Navitoclax,Trametinib,SIDM00774,True
Taselisib,Trametinib,SIDM00783,True
Navitoclax,Taselisib,SIDM00835,True
Pictilisib,Palbociclib,SIDM00148,True
Axitinib,Alpelisib,SIDM00933,True
Vorinostat,Lapatinib,SIDM00528,True
BMS-754807,Sapitinib,SIDM00534,True
Navitoclax,SCH772984,SIDM00537,True
Trametinib,MK-2206,SIDM00455,True
OSI-027,Lapatinib,SIDM00531,True
Linsitinib,Alpelisib,SIDM00332,True
Navitoclax,Tozasertib,SIDM00878,True
Navitoclax,ZM447439,SIDM00877,True
Navitoclax,Paclitaxel,SIDM01186,True
Pictilisib,Sapitinib,SIDM00872,True
Linsitinib,Navitoclax,SIDM00877,True
Vinorelbine,Navitoclax,SIDM00777,True
Trametinib,Crizotinib,SIDM00529,True
Navitoclax,Taselisib,SIDM00677,True
Taselisib,Crizotinib,SIDM00950,True
Taselisib,NU7441,SIDM00872,True
Navitoclax,PD173074,SIDM00954,True
SB216763,SCH772984,SIDM00534,True
Navitoclax,AZD6482,SIDM01056,True
Palbociclib,Dasatinib,SIDM00950,True
Dasatinib,Ruxolitinib,SIDM00469,True
Trametinib,MK-2206,SIDM00146,True
Sapitinib,OSI-027,SIDM01186,True
MK-2206,Ribociclib,SIDM00148,True
Taselisib,SCH772984,SIDM01062,True
PD173074,MK-2206,SIDM00940,True
PD173074,Doramapimod,SIDM01186,True
Pictilisib,OSI-027,SIDM01001,True
Sorafenib,Taselisib,SIDM00582,True
Linsitinib,GSK269962A,SIDM00875,True
PD173074,ZM447439,SIDM00879,True
Sorafenib,Navitoclax,SIDM00469,True
Navitoclax,Tozasertib,SIDM00881,True
Taselisib,Trametinib,SIDM00782,True
Lapatinib,Crizotinib,SIDM00453,True
Navitoclax,Sorafenib,SIDM01136,True
Sapitinib,Navitoclax,SIDM00893,True
MK-2206,Trametinib,SIDM01233,True
Afatinib,Navitoclax,SIDM00834,True
SCH772984,Lapatinib,SIDM00582,True
MK-2206,Palbociclib,SIDM00832,True
Navitoclax,Lapatinib,SIDM00528,True
Lapatinib,Sorafenib,SIDM00533,True
Trametinib,Navitoclax,SIDM00455,True
Navitoclax,Paclitaxel,SIDM00633,True
Navitoclax,Vorinostat,SIDM00146,True
Navitoclax,PD173074,SIDM01062,True
Trametinib,Afatinib,SIDM00812,True
Linsitinib,MK-2206,SIDM00214,True
Trametinib,Navitoclax,SIDM00834,True
Navitoclax,Crizotinib,SIDM01037,True
Dasatinib,Linsitinib,SIDM00950,True
SCH772984,Taselisib,SIDM00301,True
Dasatinib,Linsitinib,SIDM00455,True
Lapatinib,ZM447439,SIDM00893,True
Navitoclax,Crizotinib,SIDM00241,True
