ANCHOR_NAME,LIBRARY_NAME,SIDM,Synergy
Navitoclax,Crizotinib,SIDM00582,True
MK-2206,SCH772984,SIDM00633,True
Navitoclax,Vinorelbine,SIDM00841,True
Lapatinib,Navitoclax,SIDM00950,True
Navitoclax,ZM447439,SIDM00146,True
Linsitinib,Sapitinib,SIDM00834,True
Navitoclax,Pictilisib,SIDM00892,True
Crizotinib,Dasatinib,SIDM00453,True
SB505124,Linsitinib,SIDM01233,True
SCH772984,Taselisib,SIDM01165,True
Trametinib,Uprosertib,SIDM00628,True
BMS-754807,Vinorelbine,SIDM00660,True
Paclitaxel,Navitoclax,SIDM01165,True
Navitoclax,Taselisib,SIDM00677,True
Sorafenib,Linsitinib,SIDM00582,True
Navitoclax,PD173074,SIDM00954,True
Lapatinib,Ribociclib,SIDM01062,True
Afatinib,Linsitinib,SIDM00789,True
Trametinib,Lapatinib,SIDM01137,True
Navitoclax,Tozasertib,SIDM00954,True
Taselisib,Afatinib,SIDM00241,True
Trametinib,SB216763,SIDM00834,True
Axitinib,Alpelisib,SIDM00933,True
Dactolisib,Taselisib,SIDM00042,True
Linsitinib,MK-2206,SIDM00455,True
MK-2206,AZD6482,SIDM00920,True
Axitinib,Taselisib,SIDM01001,True
Vorinostat,Sapitinib,SIDM00272,True
Navitoclax,SB216763,SIDM00772,True
Dactolisib,SCH772984,SIDM01138,True
MK-2206,Alpelisib,SIDM00241,True
BMS-754807,Sapitinib,SIDM00783,True
Taselisib,Navitoclax,SIDM00899,True
Navitoclax,Dasatinib,SIDM00943,True
Navitoclax,Lapatinib,SIDM00774,True
SCH772984,MK-2206,SIDM01096,True
Navitoclax,MK-2206,SIDM00675,True
Paclitaxel,Navitoclax,SIDM00301,True
Paclitaxel,Trametinib,SIDM00950,True
Trametinib,Linsitinib,SIDM00469,True
MK-2206,Ribociclib,SIDM00148,True
SCH772984,SB216763,SIDM00527,True
Linsitinib,MK-2206,SIDM00772,True
Taselisib,SCH772984,SIDM00670,True
Linsitinib,Trametinib,SIDM00954,True
Pictilisib,Venetoclax,SIDM00148,True
Trametinib,Linsitinib,SIDM00944,True
SCH772984,MK-2206,SIDM00130,True
Erlotinib,Crizotinib,SIDM00132,True
SCH772984,Taselisib,SIDM00826,True
Trametinib,Navitoclax,SIDM00670,True
Linsitinib,Trametinib,SIDM00487,True
Sapitinib,MK-2206,SIDM00680,True
MK-2206,Trametinib,SIDM00498,True
