Navitoclax,Vorinostat
Navitoclax,Axitinib
Navitoclax,PD173074
Sapitinib,PD173074
OSI-027,MK-2206
PD173074,MK-2206
PD173074,Crizotinib
Navitoclax,Crizotinib
OSI-027,Crizotinib
OSI-027,Trametinib
Navitoclax,Trametinib
Pictilisib,Trametinib
Taselisib,Trametinib
Navitoclax,Linsitinib
OSI-027,Linsitinib
Crizotinib,Sapitinib
Axitinib,Sapitinib
OSI-027,Sapitinib
Axitinib,Lapatinib
PD173074,Lapatinib
Linsitinib,Lapatinib
Crizotinib,Lapatinib
Vorinostat,Lapatinib
Navitoclax,Lapatinib
Palbociclib,Taselisib
Navitoclax,Taselisib
Pictilisib,OSI-027
Crizotinib,OSI-027
Taselisib,OSI-027
Taselisib,Navitoclax
Crizotinib,Navitoclax
Vorinostat,Navitoclax
Axitinib,Navitoclax
OSI-027,Navitoclax
MK-2206,Palbociclib
MK-2206,Pictilisib
Taselisib,Sapitinib
Taselisib,Lapatinib
MK-2206,Lapatinib
Vorinostat,Taselisib
MK-2206,Taselisib
Vorinostat,OSI-027
Navitoclax,OSI-027
MK-2206,OSI-027
Taselisib,PD173074
Pictilisib,MK-2206
Pictilisib,Palbociclib
Linsitinib,Pictilisib
Crizotinib,Pictilisib
Pictilisib,Crizotinib
Taselisib,Crizotinib
Sapitinib,Navitoclax
Lapatinib,Navitoclax
Trametinib,Navitoclax
MK-2206,Navitoclax
Pictilisib,PD173074
Sapitinib,MK-2206
Lapatinib,Crizotinib
Vorinostat,Trametinib
MK-2206,Trametinib
Sapitinib,Linsitinib
Lapatinib,Linsitinib
Taselisib,Linsitinib
Trametinib,Linsitinib
MK-2206,Linsitinib
Pictilisib,Lapatinib
Lapatinib,OSI-027
Sapitinib,OSI-027
Trametinib,MK-2206
Linsitinib,MK-2206
PD173074,Trametinib
Linsitinib,Sapitinib
Trametinib,Lapatinib
Trametinib,Taselisib
Linsitinib,OSI-027
Axitinib,PD173074
Taselisib,MK-2206
Taselisib,Palbociclib
Sapitinib,Pictilisib
Lapatinib,Pictilisib
Vorinostat,Pictilisib
Sapitinib,Crizotinib
Linsitinib,Crizotinib
Vorinostat,Crizotinib
Vorinostat,Sapitinib
Pictilisib,Sapitinib
MK-2206,Sapitinib
OSI-027,Lapatinib
Pictilisib,Navitoclax
Navitoclax,MK-2206
Navitoclax,Pictilisib
PD173074,Taselisib
PD173074,Vorinostat
Vorinostat,PD173074
Axitinib,OSI-027
Lapatinib,Trametinib
Sapitinib,Trametinib
Pictilisib,Linsitinib
PD173074,Linsitinib
PD173074,Sapitinib
Sapitinib,Axitinib
Linsitinib,Axitinib
Crizotinib,Axitinib
Vorinostat,Axitinib
OSI-027,Axitinib
MK-2206,Axitinib
MK-2206,PD173074
Crizotinib,PD173074
Lapatinib,PD173074
Linsitinib,PD173074
Vorinostat,Palbociclib
Lapatinib,Palbociclib
Trametinib,Crizotinib
Vorinostat,Linsitinib
Navitoclax,Sapitinib
Lapatinib,Taselisib
Pictilisib,Taselisib
OSI-027,Palbociclib
Linsitinib,Palbociclib
Lapatinib,MK-2206
Pictilisib,Vorinostat
OSI-027,Vorinostat
Taselisib,Axitinib
Linsitinib,Navitoclax
Lapatinib,Axitinib
Crizotinib,Taselisib
OSI-027,Taselisib
Palbociclib,Vorinostat
Crizotinib,Palbociclib
Sapitinib,Taselisib
PD173074,OSI-027
Vorinostat,MK-2206
MK-2206,Vorinostat
Lapatinib,Sapitinib
Trametinib,Pictilisib
MK-2206,Crizotinib
OSI-027,Pictilisib
Sapitinib,Palbociclib
Palbociclib,MK-2206
Axitinib,Taselisib
Crizotinib,Trametinib
Linsitinib,Trametinib
Palbociclib,Sapitinib
Palbociclib,PD173074
OSI-027,PD173074
Trametinib,PD173074
Axitinib,Sorafenib
Trametinib,Tozasertib
Navitoclax,Tozasertib
Trametinib,Uprosertib
OSI-027,Uprosertib
Trametinib,Alpelisib
Navitoclax,Alpelisib
MK-2206,Alpelisib
Linsitinib,AZD6482
Navitoclax,Afatinib
Lapatinib,NU7441
MK-2206,ZM447439
Navitoclax,Paclitaxel
MK-2206,Paclitaxel
Palbociclib,Uprosertib
Linsitinib,Uprosertib
Sapitinib,Uprosertib
Vorinostat,Alpelisib
OSI-027,Alpelisib
Vorinostat,AZD6482
Linsitinib,Sorafenib
Navitoclax,Sorafenib
PD173074,GSK269962A
Lapatinib,GSK269962A
Vorinostat,GSK269962A
Navitoclax,GSK269962A
Linsitinib,SCH772984
Navitoclax,Nilotinib
PD173074,Nilotinib
Vorinostat,KU-55933
PD173074,KU-55933
PD173074,NU7441
Vorinostat,Doramapimod
Navitoclax,Doramapimod
PD173074,ZM447439
Lapatinib,ZM447439
Vorinostat,Alisertib
Navitoclax,Alisertib
OSI-027,Alisertib
Vorinostat,PF-4708671
PD173074,PF-4708671
Navitoclax,PF-4708671
Linsitinib,PF-4708671
Lapatinib,PF-4708671
Pictilisib,PF-4708671
Vorinostat,Uprosertib
Navitoclax,Uprosertib
PD173074,Uprosertib
PD173074,Alpelisib
Vorinostat,Ribociclib
Navitoclax,Ribociclib
Navitoclax,SB216763
Taselisib,Afatinib
Linsitinib,Afatinib
Navitoclax,NU7441
Sapitinib,ZM447439
Navitoclax,ZM447439
Taselisib,Uprosertib
Pictilisib,SCH772984
Taselisib,SCH772984
Navitoclax,SCH772984
Lapatinib,Ribociclib
Taselisib,AZD6482
Pictilisib,Nilotinib
Taselisib,Nilotinib
OSI-027,Nilotinib
Vorinostat,Afatinib
Taselisib,Alisertib
Taselisib,PF-4708671
Lapatinib,Alpelisib
Lapatinib,AZD6482
Pictilisib,Afatinib
MK-2206,Afatinib
MK-2206,SCH772984
Navitoclax,AZD6482
Lapatinib,Uprosertib
Crizotinib,Alpelisib
Axitinib,AZD6482
Sapitinib,AZD6482
MK-2206,PF-4708671
Sapitinib,NU7441
MK-2206,NU7441
Pictilisib,NU7441
Lapatinib,Doramapimod
Sapitinib,SCH772984
Lapatinib,SCH772984
Lapatinib,Venetoclax
Sapitinib,Venetoclax
Crizotinib,Nilotinib
Vorinostat,NU7441
Taselisib,NU7441
Linsitinib,GSK269962A
MK-2206,KU-55933
Vorinostat,ZM447439
Pictilisib,Tozasertib
PD173074,Tozasertib
Lapatinib,Tozasertib
Linsitinib,Tozasertib
Crizotinib,GSK269962A
MK-2206,GSK269962A
Vorinostat,Venetoclax
Vorinostat,Nilotinib
Axitinib,Nilotinib
Lapatinib,Afatinib
OSI-027,GSK269962A
Vorinostat,Tozasertib
OSI-027,SCH772984
Trametinib,AZD6482
Lapatinib,Nilotinib
Sapitinib,Nilotinib
Vorinostat,SB216763
Sapitinib,Alpelisib
Vorinostat,SCH772984
Pictilisib,Alisertib
MK-2206,Alisertib
MK-2206,AZD6482
PD173074,Afatinib
Lapatinib,Alisertib
Sapitinib,Alisertib
OSI-027,Tozasertib
Sapitinib,Ribociclib
Trametinib,Ribociclib
Navitoclax,KU-55933
Lapatinib,KU-55933
Linsitinib,KU-55933
Linsitinib,NU7441
Trametinib,Doramapimod
Linsitinib,ZM447439
PD173074,Paclitaxel
Lapatinib,Paclitaxel
Trametinib,Sorafenib
MK-2206,Tozasertib
Axitinib,Uprosertib
Crizotinib,Uprosertib
Axitinib,Alpelisib
Axitinib,Ribociclib
Linsitinib,Ribociclib
Crizotinib,Venetoclax
Axitinib,Venetoclax
Linsitinib,Venetoclax
Crizotinib,AZD6482
Axitinib,Afatinib
Sapitinib,Tozasertib
Taselisib,Tozasertib
Taselisib,Venetoclax
Vorinostat,Sorafenib
Palbociclib,Doramapimod
Axitinib,NU7441
OSI-027,NU7441
OSI-027,Venetoclax
MK-2206,SB216763
Taselisib,KU-55933
Axitinib,Doramapimod
MK-2206,Doramapimod
Pictilisib,ZM447439
Taselisib,ZM447439
Crizotinib,ZM447439
OSI-027,ZM447439
Trametinib,Alisertib
Axitinib,Alisertib
Palbociclib,Tozasertib
Axitinib,PF-4708671
Axitinib,SCH772984
Pictilisib,Ribociclib
MK-2206,Ribociclib
Palbociclib,Venetoclax
Pictilisib,Venetoclax
MK-2206,Venetoclax
Palbociclib,AZD6482
Trametinib,GSK269962A
Trametinib,NU7441
PD173074,Doramapimod
Taselisib,Doramapimod
Pictilisib,Paclitaxel
Taselisib,Paclitaxel
Linsitinib,Alpelisib
PD173074,SCH772984
PD173074,Ribociclib
Taselisib,Ribociclib
PD173074,AZD6482
MK-2206,Nilotinib
OSI-027,Afatinib
Vorinostat,Paclitaxel
Axitinib,GSK269962A
Taselisib,GSK269962A
Trametinib,SCH772984
Crizotinib,NU7441
Linsitinib,Alisertib
Sapitinib,Paclitaxel
Pictilisib,Doramapimod
Navitoclax,Venetoclax
Pictilisib,AZD6482
Trametinib,Afatinib
Trametinib,ZM447439
Crizotinib,SCH772984
Crizotinib,Ribociclib
OSI-027,Ribociclib
BMS-754807,Trametinib
BMS-754807,Vinorelbine
Navitoclax,Vinorelbine
Crizotinib,Vinorelbine
Afatinib,Navitoclax
SCH772984,Navitoclax
Vinorelbine,Navitoclax
BMS-754807,Navitoclax
SB216763,Navitoclax
SB505124,MK-2206
SB505124,Palbociclib
SB505124,Linsitinib
SB505124,BMS-754807
Navitoclax,BMS-754807
Trametinib,SB216763
SCH772984,Afatinib
BMS-754807,MK-2206
Navitoclax,SB505124
Afatinib,Trametinib
Trametinib,Sapitinib
SCH772984,Sapitinib
Palbociclib,SCH772984
Afatinib,SCH772984
Sapitinib,BMS-754807
MK-2206,SB505124
BMS-754807,Sapitinib
MK-2206,Vinorelbine
Vinorelbine,Afatinib
Vinorelbine,MK-2206
Vinorelbine,Trametinib
Vinorelbine,Sapitinib
SCH772984,MK-2206
Trametinib,Palbociclib
BMS-754807,Palbociclib
SB216763,Palbociclib
SCH772984,Linsitinib
SCH772984,Taselisib
Vinorelbine,Taselisib
BMS-754807,SCH772984
Crizotinib,MK-2206
SB505124,Navitoclax
Afatinib,MK-2206
SB505124,Trametinib
Palbociclib,Linsitinib
Crizotinib,Linsitinib
Linsitinib,Vinorelbine
Afatinib,BMS-754807
Trametinib,BMS-754807
SCH772984,BMS-754807
MK-2206,BMS-754807
SB505124,Crizotinib
Linsitinib,SB216763
BMS-754807,SB216763
Afatinib,Linsitinib
Vinorelbine,Linsitinib
Taselisib,SB216763
Vinorelbine,SB216763
SB216763,SB505124
SB216763,Linsitinib
Vinorelbine,SCH772984
Afatinib,SB216763
Afatinib,Palbociclib
Taselisib,Vinorelbine
Afatinib,Vinorelbine
Sapitinib,Vinorelbine
SCH772984,SB216763
SB505124,SB216763
BMS-754807,Afatinib
SB505124,Taselisib
SB505124,Vinorelbine
Crizotinib,SB216763
Crizotinib,Afatinib
SB505124,SCH772984
SB216763,BMS-754807
SCH772984,Crizotinib
SCH772984,Trametinib
Afatinib,Taselisib
SCH772984,Palbociclib
SB216763,Trametinib
Linsitinib,SB505124
