BARCODE,COMBI_ID,Tissue,CELL_LINE_NAME,SIDM,COSMIC_ID,ANCHOR_ID,ANCHOR_NAME,ANCHOR_TARGET,ANCHOR_PATHWAY,ANCHOR_DRUG_TYPE,ANCHOR_Clin_Rel,ANCHOR_CONC,LIBRARY_ID,LIBRARY_NAME,LIBRARY_TARGET,LIBRARY_PATHWAY,LIBRARY_DRUG_TYPE,LIBRARY_Clin_Rel,LIBRARY_CONC,ANCHOR_VIABILITY,LIBRARY_RMSE,LIBRARY_EMAX,LIBRARY_XMID,LIBRARY_XMID_uM,LIBRARY_AUC,LIBRARY_fAUC,SYNERGY_RMSE,SYNERGY_EXP_EMAX,SYNERGY_OBS_EMAX,SYNERGY_DELTA_EMAX,SYNERGY_XMID,SYNERGY_XMID_uM,SYNERGY_DELTA_XMID,SYNERGY_DELTA_XMID_uM,SYNERGY_EXP_AUC,SYNERGY_OBS_AUC,SYNERGY_EXP_fAUC,SYNERGY_OBS_fAUC,SYNERGY_DELTA_AUC,SYNERGY_DELTA_fAUC,Synergy,DAY1_NORM_MEAN,DAY1_NORM_SD,GROWTH_RATE,DOUBLING_TIME
14576,1011:1007,Breast,CAL-120,SIDM00940,906826,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,2.5,1007,Docetaxel,Microtubule stabiliser,Mitosis,Chemotherapeutic,FDA approved in breast,0.0125,0.283484548338709,0.055755094980629,0.613821324407456,9.83431125347511,0.0223,0.90404989022627,0.912569211629941,0.0528242035218281,0.174008860910316,0.0994520858583554,0.0745567750519605,7.89196977771695,0.0058,1.94234147575816,0.0165,0.256284174806454,0.184615095388298,0.258699270786726,0.230386911002527,0.0716690794181555,0.0283123597841992,True,0.45268617874145,0.0619180719759428,0.767468512851341,64.0728989737934
14577,1179:1011,Breast,CAL-120,SIDM00940,906826,1179,MK-1775,"WEE1, PLK1",Cell cycle,Targeted,Early clinical trials,2.5,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,10.0,0.59148156468649,0.103162076983888,0.121612570822384,5.44016726331254,0.848,0.633507043085208,0.625635748765272,0.0305435903368593,0.0719315936755703,0.0139201440045423,0.058011449671028,2.29265640036365,0.0957,3.14751086294889,0.7523,0.374707737083951,0.191489181880521,0.370052011603487,0.208078607952855,0.183218555203429,0.161973403650632,True,0.45268617874145,0.0619180719759428,0.767468512851341,64.0728989737934
14577,1011:1012,Breast,CAL-120,SIDM00940,906826,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,2.5,1012,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,Targeted,FDA approved,5.0,0.251275587746141,0.0952072335648409,0.518506228631407,9.13333523314711,5.4841,0.850533909432513,0.882395231797411,0.0289044549864365,0.130287957349392,0.0401051066803375,0.0901828506690541,6.00924670720787,0.629,3.12408852593924,4.8551,0.213718407990677,0.16638297892555,0.221724380494286,0.169171537373141,0.0473354290651278,0.0525528431211453,True,0.45268617874145,0.0619180719759428,0.767468512851341,64.0728989737934
14923,1011:1017,Breast,CAL-120,SIDM00940,906826,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,2.5,1017,Olaparib,"PARP1, PARP2",Genome integrity,Targeted,FDA approved,10.0,0.210724597152126,0.071275317991434,0.898002594179941,12.9162722648907,150.9786,0.948879648225014,0.980710033362263,0.0544173136246668,0.189231234900132,0.181126049385076,0.0081051855150561,12.2613635819329,95.8889,0.654908682957869,55.0897,0.199952281618067,0.161931840279148,0.206659726703311,0.205006210333442,0.0380204413389197,0.0016535163698695,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14578,1011:1021,Breast,CAL-120,SIDM00940,906826,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,2.5,1021,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,Targeted,FDA approved,10.0,0.241120404495817,0.0933354841089233,0.851742797969336,12.1477009993731,88.6242,0.930284863630387,0.971230147250321,0.0524064747297236,0.205372567972765,0.0713433125022409,0.134029255470524,7.43908581227599,3.3894,4.70861518709708,85.2348,0.224310662614895,0.176857614247395,0.234183405963529,0.188652502592965,0.0474530483674993,0.0455309033705646,True,0.45268617874145,0.0619180719759428,0.767468512851341,64.0728989737934
14578,1190:1022,Breast,CAL-120,SIDM00940,906826,1190,Gemcitabine,Pyrimidine antimetabolite,DNA replication,Chemotherapeutic,FDA approved in breast,0.01,1022,AZD7762,"CHEK1, CHEK2",Cell cycle,Targeted,Early clinical trials,1.0,0.994280825679684,0.083322554760222,0.746174753110532,10.9413942505197,3.8408,0.914082831627642,0.947522057931501,0.0918775647635755,0.741907249624074,0.337320626051801,0.404586623572272,7.79987336378419,0.4352,3.14152088673555,3.4056,0.908855032570355,0.780748673316274,0.942103014109846,0.802117803385129,0.128106359254082,0.139985210724717,True,0.45268617874145,0.0619180719759428,0.767468512851341,64.0728989737934
14578,1017:1022,Breast,CAL-120,SIDM00940,906826,1017,Olaparib,"PARP1, PARP2",Genome integrity,Targeted,FDA approved,10.0,1022,AZD7762,"CHEK1, CHEK2",Cell cycle,Targeted,Early clinical trials,1.0,0.926560081037689,0.083322554760222,0.746174753110532,10.9413942505197,3.8408,0.914082831627642,0.947522057931501,0.061877622516663,0.691375739710372,0.470663249242318,0.220712490468054,9.05739008913917,1.0406,1.88400416138057,2.8002,0.846952662548069,0.777835915994825,0.87793611478201,0.81419270478121,0.069116746553244,0.0637434100008004,True,0.45268617874145,0.0619180719759428,0.767468512851341,64.0728989737934
14579,1011:1049,Breast,CAL-120,SIDM00940,906826,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,2.5,1049,PD173074,"FGFR1, FGFR2, FGFR3",RTK signaling,Targeted,Experimental only,10.0,0.325457399928819,0.0863145969041701,0.786029418718387,11.3425983839965,50.7215,0.897098452961029,0.956843023200917,0.0538307292298927,0.255819090883647,0.177828004623916,0.0779910862597309,9.33507529912242,12.6144,2.00752308487411,38.1071,0.291967329980862,0.247928521528047,0.311411642471001,0.290229526112238,0.0440388084528156,0.0211821163587623,True,0.45268617874145,0.0619180719759428,0.767468512851341,64.0728989737934
14579,1549:1049,Breast,CAL-120,SIDM00940,906826,1549,Sapitinib,"EGFR, ERBB2, ERBB3",EGFR signaling,Targeted,Advanced clinical trials,0.5,1049,PD173074,"FGFR1, FGFR2, FGFR3",RTK signaling,Targeted,Experimental only,10.0,0.966711479030238,0.0863145969041701,0.786029418718387,11.3425983839965,50.7215,0.897098452961029,0.956843023200917,0.0718190532343168,0.75986366193053,0.781730602764305,-0.0218669408337742,11.5948378660018,60.4121,-0.252239482005271,-9.6906,0.867235372297695,0.857944320768887,0.924991134158322,0.929905086161411,0.0092910515288079,-0.0049139520030888,True,0.45268617874145,0.0619180719759428,0.767468512851341,64.0728989737934
14580,1594:1053,Breast,CAL-120,SIDM00940,906826,1594,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling,Targeted,Early clinical trials,0.25,1053,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,Targeted,Early clinical trials,10.0,0.920746926528932,0.0772702898055411,0.809786020696576,11.608093586369,60.9697,0.920837498197176,0.962177872762651,0.0280613771758807,0.745607989702467,0.486384711319636,0.25922327838283,9.20366305368975,11.5162,2.40443053267925,49.4535,0.847858296297641,0.815028290136597,0.885922319120357,0.815526264703865,0.0328300061610439,0.0703960544164918,True,0.45268617874145,0.0619180719759428,0.767468512851341,64.0728989737934
