,Unnamed: 0,drug_name,targets,shared_by,shared_by_cid,shared_by_smiles
0,0,D00STL,T38284,D0D5EW,5311104,CC1=C(C=CC(=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl)F
1,1,D00STL,T38284,D03NPX,447077,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC
2,2,D00STL,T38284,D0AW4W,11537051,COC1=CC=C(C=C1)C2=CC=CC=C2C3=CC(=CC(=C3)OC)OC
3,3,D00STL,T38284,D0PI0R,0,zero
4,4,D00STL,T38284,D0H4YH,11594901,COC1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC(=CC(=C3)OC)OC
5,5,D00STL,T38284,D0QG6G,11493254,COC1=CC(=CC(=C1)C2=CC=CC(=C2)C3=CC=C(C=C3)O)OC
6,6,D00STL,T38284,D00AII,5281727,COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC
7,7,D00STL,T38284,D05YAD,24856901,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)NCCCCCCC(=O)NO)C
8,8,D00STL,T38284,D0DC7I,0,zero
9,9,D00STL,T38284,D0Y4EU,24756907,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)NCCNCCCCCC(=O)NO)C
10,10,D00STL,T38284,D0WL1U,24826799,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5
11,11,D00STL,T38284,D0Z1RJ,387042,C1C2CC3CC1CC(C2)(C3)OC(=O)C4=CC=C(C=C4)NCC5=C(C=CC(=C5)O)O
12,12,D00STL,T38284,DL8T4I,89884852,CC1=C(C(=CC=C1)Cl)C(=O)NNC(=O)C2=CC(=C(C=C2)C)C#CC3=CC4=CC=CC=C4N=C3
13,13,D00STL,T38284,D01SCR,0,zero
14,14,D00STL,T38284,D04BXX,0,zero
15,15,D00STL,T38284,D0G0VV,11387605,CC1=C(C=C(C=C1)NC(=O)C2=CC(=C(C=C2)CN3CCC(C3)N(C)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CN=C5
16,16,D00STL,T38284,DH5RN1,51038269,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CC5=C(NN=C5)N=C4
17,17,D00STL,T38284,D0LB3Z,0,zero
18,18,D00STL,T38284,D01NIR,16063245,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=NC=CN=C5
19,19,D00STL,T38284,DSHT18,72165228,C1CN(CC1O)C2=C(C=C(C=N2)C(=O)NC3=CC=C(C=C3)OC(F)(F)Cl)C4=CC=NN4
20,20,D00STL,T38284,D0AZ3C,5291,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
21,21,D00STL,T38284,D00STL,644241,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
22,22,D00STL,T38284,D0E6XR,3062316,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO
23,23,D00STL,T38284,D0C9ZW,46928937,C1=CC(=CC(=C1)C(F)(F)F)CNC2=NC=C3C4=C(C=NC=C4)NC5=C(C3=N2)C=CC=N5
24,24,D00STL,T38284,D0K3BR,0,zero
25,25,D00STL,T38284,D0OY0U,0,zero
26,26,D00STL,T38284,D04UXO,25156740,CC1=CN(C=N1)C2=CC(=CC(=C2)NC(=O)C3=CC=CC4=C3C=CC(=C4)OC5=CC(=NC=C5)NC6=CC=CC=N6)C(F)(F)F
27,27,D00STL,T38284,D0CJ7F,0,zero
28,28,D00STL,T38284,D0PF2F,0,zero
29,29,D00STL,T38284,D0E6EP,42626200,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(S2)C=CC(=O)NO)NC3=NC(=CS3)C4=CN=CC=C4
30,30,D00STL,T38284,D0JY1I,0,zero
31,31,D00STL,T38284,D01OYY,11562629,CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)NC3=NC=CC(=N3)C4=CN=CC=C4
32,32,D00STL,T38284,D0KR7K,0,zero
33,33,D00STL,T38284,D0I5VG,0,zero
34,34,D00STL,T38284,D0JR7X,0,zero
35,35,D00STL,T38284,D03EMY,25123000,C1=CC(=CC(=C1)C(F)(F)F)C(=O)NC2=CC(=CC=C2)NC(=O)C3=C4C=CNC4=NC=C3
36,36,D00STL,T38284,D0Z7DA,25110837,CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)C(F)(F)F)NC3=NC=NN3C4=NC=NC(=C4)NC
37,37,D00STL,T38284,D0L7XM,0,zero
38,38,D00STL,T38284,D05HDJ,49782106,C1=CC(=CN=C1)CN2C3=NC=NC(=C3C=N2)NC4=CC=C(C=C4)OC(F)(F)F
39,39,D00STL,T38284,D0HF0R,25015762,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC4=C(C=C3)N=C(C=C4)C(F)(F)F)N5CCN(CC5)C6CCN(CC6)C
40,40,D00STL,T38284,D0BJ6M,46861598,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C4CC4)NC5=NC=CC(=N5)C6=CN=CC=C6
41,41,D00STL,T38284,D0O2HW,0,zero
42,42,D00STL,T38284,D02VDD,76283824,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4C5CC5)Cl)OC)C#N)OC
