ttid , smile
D00AAN , C1CCN2CCC3C(=CC(CCC=CC1)(C4C3(C2)CC5N4CCCC(=O)CC5)O)C6=NC=CC7=C6NC8=C7C=CC=C8OS(=O)(=O)C9=CC=C(C=C9)Cl
D00AAU , CCC(C1=CC(=CC=C1)O)C(CC)C2=CC(=CC=C2)O
D00ABO , C1CN(CCN1)C(=O)C2=CC=C(C=C2)C=CC3=NNC4=CC=CC=C43
D00ACC , C1CC2CCC(C3=CC=CC(=C23)C1)N4CCC5(CC4)C(=O)NCN5C6=CC=CC=C6
D00ACL , C1=CC(=C(C=C1C(=O)NO)F)CN(C2=NC=CN=C2)C3=NC=CN=C3
D00ACX , C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl
D00AEQ , CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O
D00AEX , CCCCCCOC1=NC=C(C=C1)N2C=CN=C2
D00AHD , C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C(=O)N4C5=CC=CC=C5SC6=CC=CC=C64
D00AII , COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC
D00AIO , COC1=CC=C(C=C1)C2=C3C4=CC=CC=C4NC3=NC=C2
D00AJB , CCC1CC2CC3(C1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC)C(=O)OC
D00AKV , CC1=CN(C(=O)C=C1)C2=CC=C(C=C2)O
D00AKY , C1=CC=C(C=C1)CCCCCCCCC2=CC(=CC=C2)C(CC(=O)O)SCCC(=O)O
D00AMQ , CCO
D00ANJ , CCCCCCCCCCCCN1C2=CC=CC=C2C(=O)C1=O
D00AOJ , CCCCCCCCCCCCCCCCCCCCCCO
D00AON , CCCCCCCCCC1=CC(=O)C2=C(O1)C=CC(=C2)OS(=O)(=O)N
D00APD , CN(C)CCC1=CNC2=C1C=CC(=C2)O
D00AQR , COC(=N)C1=NC2=C(S1)C3=C(C=C2)N=CN=C3NC4=CC=C(C=C4)Cl
D00ARM , C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br.C(C(C(=O)O)O)(C(=O)O)O
D00ARN , CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O.C=O.C1CO1
D00ASA , C1=CC=C2C(=C1)C(=O)C=C(O2)C3=CC(=CC=C3)Cl
D00ASH , CC(CC(=O)C1=CC(=CC=C1)OC)(C(=O)O)N
