compounds,targets
D0Q8QA,T68547
D0L5DZ,T68547
D0UC6H,T68547
D0U0EZ,T68547
D06RQU,T68547
D00SSZ,T68547
D0L7LC,T68547
D0Z8PX,T68547
D0P9CQ,T68547
D06THS,T68547
D06XNP,T68547
D0CH8Q,T68547
D0E7PQ,T68547
D0OU0J,T68547
D0EH2K,T68547
D0C0VP,T68547
D0E3SH,T68547
D01YBR,T68547
D0B3FV,T68547
D09YBN,T68547
D0J8OC,T68547
D0MP2U,T68547
D0B2ZJ,T68547
D02WZK,T68547
D05VFP,T68547
D0H1FZ,T68547
D0M0QJ,T68547
D0R3XO,T68547
D06ONC,T68547
D0H3RO,T68547
D0I5XM,T68547
D0D7KH,T68547
D0E8UH,T68547
D0Z6MI,T68547
D03PRG,T68547
D0X4QC,T68547
D0Z6HR,T68547
D04CDZ,T68547
D0N5RV,T68547
D0G1EX,T68547
D02NVY,T68547
D00XTC,T68547
D02NAF,T68547
D0C9NX,T68547
D0M0RE,T68547
D0T7OQ,T68547
D07FPY,T68547
D0VE1W,T68547
D00HXJ,T68547
D0R3RJ,T68547
D0ZG5X,T68547
D0YT8O,T68547
D04KQU,T68547
D02VVU,T68547
D03YVR,T68547
D0Q1QY,T68547
D0A7IF,T68547
D05PYF,T68547
D00PLM,T68547
D0MQ2D,T68547
D0N1RX,T68547
D00SQN,T68547
D04UVL,T68547
D0M9LJ,T68547
D0Q2GM,T68547
D08GBR,T68547
D00FHR,T68547
D0O6SJ,T68547
D06IIL,T68547
D0ET4U,T68547
D08GQL,T68547
D01UXJ,T68547
D00ACL,T68547
D0QR1Z,T68547
D0MR7U,T68547
D0TH3L,T68547
D06TKI,T68547
D0YD7B,T68547
D01EDB,T68547
D04VQE,T68547
D0TN6E,T68547
D0RA0D,T68547
D0YC2M,T68547
D01FYB,T68547
D0CX1Y,T68547
D0Q5DI,T68547
D0F3TB,T68547
D0BP8I,T68547
D0LP1K,T68547
D0DO5U,T68547
D0L7HG,T68547
D07FJU,T68547
D02HVH,T68547
D0JR9L,T68547
D0T4IY,T68547
D0Z5KX,T68547
D0P1RQ,T68547
