,BARCODE,COMBI_ID,Tissue,CELL_LINE_NAME,SIDM,COSMIC_ID,ANCHOR_ID,ANCHOR_NAME,ANCHOR_TARGET,ANCHOR_PATHWAY,ANCHOR_DRUG_TYPE,ANCHOR_Clin_Rel,ANCHOR_CONC,LIBRARY_ID,LIBRARY_NAME,LIBRARY_TARGET,LIBRARY_PATHWAY,LIBRARY_DRUG_TYPE,LIBRARY_Clin_Rel,LIBRARY_CONC,ANCHOR_VIABILITY,LIBRARY_RMSE,LIBRARY_EMAX,LIBRARY_XMID,LIBRARY_XMID_uM,LIBRARY_AUC,LIBRARY_fAUC,SYNERGY_RMSE,SYNERGY_EXP_EMAX,SYNERGY_OBS_EMAX,SYNERGY_DELTA_EMAX,SYNERGY_XMID,SYNERGY_XMID_uM,SYNERGY_DELTA_XMID,SYNERGY_DELTA_XMID_uM,SYNERGY_EXP_AUC,SYNERGY_OBS_AUC,SYNERGY_EXP_fAUC,SYNERGY_OBS_fAUC,SYNERGY_DELTA_AUC,SYNERGY_DELTA_fAUC,Synergy,DAY1_NORM_MEAN,DAY1_NORM_SD,GROWTH_RATE,DOUBLING_TIME
1441,19424,2171:1372,Colon,RCM-1,SIDM00359,909263,2171,BMS-754807,"IGF1R, IR",IGF1R signaling,Targeted,Early clinical trials,0.5,1372,Trametinib,"MEK1, MEK2",ERK MAPK signaling,Targeted,FDA approved,1.0,0.858190812139455,0.157721531067687,0.110318131055021,3.34697017609804,0.0199,0.439948221619536,0.452607118615724,0.103177396827575,0.0946740064838149,0.0299931446180753,0.0646808618657395,0.0139440161216431,0.002,3.3330261599764,0.0179,0.377559521610978,0.226340594293053,0.388423270704927,0.200377923493353,0.151218927317926,0.188045347211574,True,0.499774390407091,0.0575571633222263,0.650242614740972,74.2496679568235
1442,21248,1083:1549,Colon,RCM-1,SIDM00359,909263,1083,Crizotinib,"MET, ALK, ROS1",RTK signaling,Targeted,FDA approved,0.625,1549,Sapitinib,"EGFR, ERBB2, ERBB3",EGFR signaling,Targeted,Advanced clinical trials,5.0,0.968599398179118,0.0809576777141758,0.625235418608138,10.3860586451506,13.0682,0.842019051282056,0.876835567413566,0.0633236363439867,0.605602650184111,0.362197988769745,0.243404661414366,7.60440643196361,1.9004,2.78165221318694,11.1678,0.815579146327151,0.691485456419626,0.849302402898826,0.721299422070875,0.124093689907526,0.128002980827951,True,0.607094293335371,0.0800870938872699,0.465526030274622,102.683196581919
1443,20647,2171:2048,Colon,RCM-1,SIDM00359,909263,2171,BMS-754807,"IGF1R, IR",IGF1R signaling,Targeted,Early clinical trials,0.5,2048,Vinorelbine,Microtubule destabiliser,Mitosis,Chemotherapeutic,FDA approved,0.1,0.812643534084649,0.114484750563863,0.784385786302074,12.4971955100251,1.1292,0.891207614479293,0.936081558083885,0.181326150587483,0.637426037466283,0.338850911348265,0.298575126118019,8.09223796670208,0.0533,4.40495754332305,1.0759,0.724234105433601,0.508367880109397,0.760700625552753,0.62767631308908,0.215866225324204,0.133024312463672,True,0.301789315323562,0.0468918373025813,0.999273940067492,46.9257595822263
1444,20647,1011:2048,Colon,RCM-1,SIDM00359,909263,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,1.0,2048,Vinorelbine,Microtubule destabiliser,Mitosis,Chemotherapeutic,FDA approved,0.1,0.754403272190948,0.114484750563863,0.784385786302074,12.4971955100251,1.1292,0.891207614479293,0.936081558083885,0.179613620736749,0.591743203846354,0.330378270777466,0.261364933068888,8.32419642355654,0.0626,4.17299908646859,1.0666,0.672329940564667,0.5068949199363,0.706182990456084,0.592146484231394,0.165435020628367,0.114036506224691,True,0.301789315323562,0.0468918373025813,0.999273940067492,46.9257595822263
1445,20647,1083:2048,Colon,RCM-1,SIDM00359,909263,1083,Crizotinib,"MET, ALK, ROS1",RTK signaling,Targeted,FDA approved,0.625,2048,Vinorelbine,Microtubule destabiliser,Mitosis,Chemotherapeutic,FDA approved,0.1,0.987236519938329,0.114484750563863,0.784385786302074,12.4971955100251,1.1292,0.891207614479293,0.936081558083885,0.12255056708802,0.774374293957949,0.558668657904266,0.215705636053683,9.71792263308254,0.1645,2.77927287694259,0.9647,0.879832703861077,0.751272483445749,0.924133899781184,0.840080602568262,0.128560220415328,0.0840532972129211,True,0.301789315323562,0.0468918373025813,0.999273940067492,46.9257595822263
1446,19405,1549:1011,Colon,LS-513,SIDM00677,907795,1549,Sapitinib,"EGFR, ERBB2, ERBB3",EGFR signaling,Targeted,Advanced clinical trials,2.0,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,10.0,0.708127890725862,0.0664950446263123,0.569916866415261,9.67982858702327,16.0195,0.84354758821518,0.867099447692602,0.0761019129462971,0.403574028503732,0.178854823298025,0.224719205205707,6.37998192625988,1.6267,3.29984666076339,14.3928,0.597339574369704,0.478362612967169,0.614017302944122,0.480680025637376,0.118976961402535,0.133337277306746,True,0.358157203394903,0.0352757689158785,0.96933213054103,50.3959381371787
1447,19405,1032:1011,Colon,LS-513,SIDM00677,907795,1032,Afatinib,"EGFR, ERBB2",EGFR signaling,Targeted,FDA approved,0.25,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,10.0,0.686569398478188,0.0664950446263123,0.569916866415261,9.67982858702327,16.0195,0.84354758821518,0.867099447692602,0.197107147193943,0.391287480157299,0.229952945430548,0.161334534726751,7.34344036340125,3.1719,2.33638822362202,12.8476,0.579153960228622,0.421604610687364,0.595323946223079,0.510367335577604,0.157549349541258,0.0849566106454744,True,0.358157203394903,0.0352757689158785,0.96933213054103,50.3959381371787
1448,19405,1372:1011,Colon,LS-513,SIDM00677,907795,1372,Trametinib,"MEK1, MEK2",ERK MAPK signaling,Targeted,FDA approved,0.1,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,10.0,0.230464339553583,0.0664950446263123,0.569916866415261,9.67982858702327,16.0195,0.84354758821518,0.867099447692602,0.0764668514736289,0.131345514218841,0.0346691630292373,0.0966763511896033,4.81924783540287,0.5514,4.8605807516204,15.4681,0.194407637800029,0.0842185217112405,0.199835501539752,0.129827750203793,0.110189116088789,0.0700077513359594,True,0.358157203394903,0.0352757689158785,0.96933213054103,50.3959381371787
1449,19405,1564:1011,Colon,LS-513,SIDM00677,907795,1564,SCH772984,"ERK1, ERK2",ERK MAPK signaling,Targeted,Experimental only,0.5,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,10.0,0.612761765429763,0.0664950446263123,0.569916866415261,9.67982858702327,16.0195,0.84354758821518,0.867099447692602,0.0725017994648285,0.349223265212814,0.0724069413417812,0.276816323871032,4.14619700528872,0.3458,5.53363158173455,15.6737,0.516893709378752,0.306827963351003,0.531325388371291,0.313331733745385,0.210065746027749,0.217993654625907,True,0.358157203394903,0.0352757689158785,0.96933213054103,50.3959381371787
1450,19405,1053:1011,Colon,LS-513,SIDM00677,907795,1053,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,Targeted,Early clinical trials,1.0,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,10.0,0.64721183083494,0.0664950446263123,0.569916866415261,9.67982858702327,16.0195,0.84354758821518,0.867099447692602,0.153027244340561,0.368856938536333,0.315120014866412,0.053736923669921,8.87331838170139,9.1594,0.806510205321878,6.8601,0.545953978965145,0.483338962809268,0.561197021057094,0.537320740268151,0.0626150161558765,0.0238762807889427,True,0.358157203394903,0.0352757689158785,0.96933213054103,50.3959381371787
