,SIDM00680,SIDM00571,SIDM00301,SIDM01062,SIDM00943,SIDM00870,SIDM01037,SIDM01188,SIDM01002,SIDM00833,SIDM00562,SIDM00534,SIDM00789,SIDM00371,SIDM00633,SIDM00928,SIDM00630,SIDM00776,SIDM00670,SIDM00217,SIDM01186,SIDM00950,SIDM00879,SIDM00488,SIDM00136,SIDM00934,SIDM00193,SIDM01138,SIDM00834,SIDM00469,SIDM00839,SIDM00359,SIDM00537,SIDM00214,SIDM00841,SIDM00531,SIDM00148,SIDM00954,SIDM01135,SIDM01165,SIDM00541,SIDM00216,SIDM00772,SIDM00629,SIDM00874,SIDM00826,SIDM00487,SIDM00812,SIDM00957,SIDM01233,SIDM00272,SIDM00241,SIDM00881,SIDM01137,SIDM00533,SIDM00782,SIDM00971,SIDM00940,SIDM00097,SIDM00777,SIDM00582,SIDM00146,SIDM00835,SIDM00664,SIDM00673,SIDM00898,SIDM00529,SIDM00132,SIDM00933,SIDM00130,SIDM01042,SIDM00282,SIDM00885,SIDM01197,SIDM00122,SIDM01096,SIDM00628,SIDM00053,SIDM00944,SIDM00527,SIDM00049,SIDM00832,SIDM00631,SIDM00135,SIDM00882,SIDM00872,SIDM00583,SIDM01187,SIDM00774,SIDM00781,SIDM00842,SIDM00505,SIDM00884,SIDM00042,SIDM00677,SIDM00893,SIDM00899,SIDM00411,SIDM00837,SIDM00875,SIDM00118,SIDM00681,SIDM00866,SIDM00498,SIDM00963,SIDM00877,SIDM01056,SIDM00892,SIDM00150,SIDM00660,SIDM00778,SIDM01139,SIDM00528,SIDM01090,SIDM00455,SIDM00779,SIDM00783,SIDM00675,SIDM00878,SIDM01001,SIDM00938,SIDM01136,SIDM00332,SIDM00453,SIDM00920
SIDM00680,1.0,0.9160096,0.91443884,0.91909534,0.92280954,0.91507345,0.919998,0.896973,0.9224563,0.9107696,0.9218486,0.935593,0.9361847,0.9227617,0.912657,0.92702144,0.90856785,0.92047334,0.91673225,0.9193134,0.9113401,0.9111967,0.8896619,0.9174508,0.9325278,0.92029905,0.93453807,0.9291551,0.9189729,0.9134608,0.9202303,0.9211572,0.9353454,0.9304488,0.92085326,0.9299657,0.9084101,0.90171444,0.92405236,0.9220921,0.92947835,0.9327945,0.9233603,0.9070147,0.9128313,0.9228474,0.93597084,0.91858596,0.91516626,0.902653,0.9209972,0.9181488,0.8958919,0.9295122,0.923093,0.9306496,0.9279471,0.9070118,0.9104956,0.92495584,0.91943204,0.919915,0.9191239,0.9054608,0.91606176,0.9097452,0.87777776,0.91943747,0.8963378,0.9195394,0.9186467,0.92369366,0.9028681,0.9232719,0.90135205,0.9247251,0.9165824,0.9099973,0.91549295,0.8964312,0.9319349,0.94027686,0.90551245,0.8949509,0.9040612,0.91164464,0.906404,0.9108163,0.9124383,0.90699005,0.89156824,0.9166845,0.90499973,0.9188949,0.9329122,0.90720123,0.9195974,0.91295516,0.92443275,0.91283727,0.9352106,0.91160417,0.9065219,0.9273923,0.918458,0.892749,0.91262615,0.91580737,0.9103937,0.9261367,0.9160273,0.92694706,0.92336935,0.92530596,0.9234347,0.8826343,0.92868704,0.8863943,0.9049351,0.8758933,0.92068136,0.9247155,0.90389967,0.91861117,0.9178911
SIDM00571,0.9160096,1.0,0.9155143,0.91843194,0.92557174,0.91315764,0.9190232,0.8981021,0.91956735,0.9028599,0.913006,0.92186797,0.92226243,0.9185079,0.9105217,0.9264036,0.90711933,0.91968715,0.91518456,0.9123266,0.90939677,0.9103006,0.8868865,0.91063285,0.92038167,0.9191099,0.9244449,0.9286129,0.9079415,0.9133221,0.91423523,0.91913784,0.9168173,0.9187987,0.9093808,0.92827004,0.90646183,0.8925695,0.92548,0.92174923,0.91448563,0.9190405,0.9198097,0.90660685,0.912284,0.9110037,0.92159647,0.9153826,0.9129312,0.8960091,0.9173197,0.90816367,0.8951941,0.93026406,0.9229413,0.92753446,0.9193022,0.9076251,0.90948963,0.91989285,0.9206471,0.92019933,0.91191375,0.90711474,0.9141693,0.90704775,0.87833935,0.91782427,0.89510137,0.9215417,0.90803224,0.9167647,0.8948754,0.9087588,0.90123224,0.9191027,0.9150052,0.9008812,0.91300637,0.8915155,0.91616553,0.92459726,0.89738554,0.8951259,0.9020432,0.9098998,0.90309733,0.90517724,0.90961003,0.8939315,0.88438636,0.91677696,0.9040146,0.9087771,0.91807204,0.9059354,0.9206567,0.9077682,0.9115924,0.9074152,0.91959417,0.9068048,0.90552205,0.9204728,0.9144366,0.89003366,0.90930605,0.91337025,0.9052319,0.9204523,0.91558605,0.92769396,0.91755587,0.91432613,0.9237622,0.8818604,0.9186416,0.884761,0.903693,0.8731939,0.9162044,0.92396545,0.8963232,0.9180715,0.9139721
SIDM00301,0.91443884,0.9155143,1.0,0.9172481,0.92018706,0.91336757,0.91818297,0.8961258,0.92030776,0.9008602,0.9133579,0.920189,0.9216323,0.91491026,0.9099356,0.9254031,0.9055926,0.91863984,0.9137709,0.9130846,0.9090457,0.9103075,0.88780946,0.9083604,0.9176893,0.9174141,0.92439723,0.92737424,0.9068661,0.9127826,0.9149777,0.91614366,0.91591704,0.91861147,0.9097441,0.92631656,0.90721875,0.8946438,0.9234146,0.92169946,0.91343814,0.91923046,0.920127,0.9087089,0.9117388,0.9085137,0.92119247,0.91569304,0.91270584,0.8952336,0.9182618,0.9094902,0.8964621,0.9269383,0.9218138,0.92590094,0.9190747,0.907086,0.90985584,0.9179823,0.91872084,0.92006195,0.9077457,0.9050454,0.91330916,0.90743244,0.88101083,0.91679955,0.8960761,0.91724545,0.9077655,0.91646576,0.8964766,0.90643775,0.9027034,0.91884655,0.914747,0.89865124,0.9118096,0.8931534,0.9145538,0.9233675,0.8974608,0.8956181,0.9015482,0.91009074,0.9053217,0.90504086,0.91082406,0.89395744,0.885703,0.91982764,0.90624255,0.90729445,0.9166157,0.90710485,0.91411203,0.90786034,0.9115217,0.90685064,0.91814053,0.90486777,0.9063388,0.9195611,0.9154763,0.89222443,0.9114122,0.9142919,0.90466374,0.9200915,0.91318095,0.9260715,0.91827095,0.91688836,0.92202073,0.88253266,0.91982013,0.8877272,0.9046638,0.8746691,0.9180191,0.9221425,0.89638126,0.9204089,0.9155187
SIDM01062,0.91909534,0.91843194,0.9172481,1.0,0.9279801,0.9188405,0.92652583,0.9018812,0.9278832,0.9049147,0.91939896,0.927709,0.926333,0.9196134,0.91757137,0.94173783,0.9128069,0.930067,0.9216244,0.9163108,0.9154364,0.9150487,0.888834,0.9130767,0.92362005,0.92314214,0.9316337,0.9410419,0.9138371,0.91511697,0.91817063,0.9252585,0.92134225,0.92470884,0.91026336,0.937754,0.9106646,0.89586294,0.9277457,0.9272799,0.9200845,0.9243945,0.92854047,0.91034186,0.91933864,0.9126413,0.9283331,0.92114186,0.9166472,0.89851993,0.92209107,0.9129097,0.89841765,0.9392874,0.93094033,0.9351126,0.92732453,0.9094663,0.91340727,0.9273155,0.92512137,0.9243889,0.91531014,0.90829265,0.9191343,0.9136292,0.8804213,0.92555964,0.89414954,0.9257843,0.9130245,0.9216555,0.9010021,0.91207695,0.9043137,0.92670554,0.9212901,0.9022868,0.916937,0.89528954,0.92271644,0.93155485,0.90173995,0.89926386,0.90526444,0.91360575,0.90242183,0.91031843,0.9162986,0.8935202,0.8861565,0.9203097,0.9074339,0.9124959,0.9245364,0.9116821,0.9208803,0.9112233,0.9163026,0.9149672,0.9213373,0.90972143,0.9084441,0.92559034,0.920824,0.89219856,0.91659296,0.9188407,0.905803,0.92390794,0.91861635,0.9376558,0.9239675,0.91894644,0.92862046,0.88285255,0.92367595,0.88905543,0.9076423,0.87604934,0.92202955,0.9285317,0.899076,0.9193922,0.91932434
SIDM00943,0.92280954,0.92557174,0.92018706,0.9279801,1.0,0.9197105,0.92590964,0.9033872,0.92793673,0.90987116,0.91974646,0.9297159,0.92926276,0.92328215,0.91837823,0.93665314,0.912875,0.92923963,0.92532897,0.91915506,0.91603696,0.9180301,0.8919545,0.9175239,0.92717606,0.92781794,0.9336718,0.9402489,0.9149264,0.9185916,0.9215271,0.9274277,0.9234059,0.92736524,0.91444284,0.93900555,0.9130599,0.89753443,0.9343767,0.93046606,0.92191994,0.9263418,0.9277606,0.9118,0.92145807,0.91745585,0.9296009,0.9237749,0.9210835,0.90083873,0.92478395,0.9142578,0.90034264,0.9420202,0.93220603,0.93646073,0.927268,0.9118263,0.9156471,0.9276545,0.9307127,0.9276433,0.91905975,0.91218585,0.9231226,0.914004,0.8806321,0.92758954,0.898071,0.9299405,0.9141948,0.92426324,0.90112495,0.9151088,0.90581983,0.9291995,0.92170846,0.9082552,0.9213544,0.89569134,0.9242507,0.93288875,0.903481,0.89912075,0.9067346,0.9174232,0.90692973,0.9108755,0.91658455,0.8983652,0.8869268,0.92159903,0.90950096,0.91706955,0.9272848,0.91282547,0.92647177,0.917011,0.918217,0.9132909,0.92675805,0.91408896,0.9115786,0.92811894,0.92150235,0.8947972,0.91603994,0.92063916,0.91035867,0.9272401,0.9246485,0.93855447,0.92401624,0.92057437,0.9328932,0.8848253,0.92476046,0.8906476,0.90983665,0.8779845,0.9236968,0.93476415,0.9006242,0.92499876,0.9212336
SIDM00870,0.91507345,0.91315764,0.91336757,0.9188405,0.9197105,1.0,0.91876996,0.89463997,0.92568624,0.9013289,0.9161793,0.92030185,0.92123514,0.912623,0.9150837,0.92703897,0.9101396,0.91945523,0.9135532,0.9123708,0.9139864,0.90860623,0.8918858,0.90727097,0.9183239,0.9174775,0.92468584,0.92798686,0.9078182,0.90928113,0.91307557,0.91646093,0.9159306,0.9189,0.9063402,0.92737156,0.910551,0.89470315,0.9226609,0.9193911,0.9137369,0.91906434,0.926371,0.90490067,0.91322666,0.90904874,0.92152935,0.9153291,0.91261905,0.8945891,0.9246968,0.91360754,0.90010387,0.9273433,0.9218208,0.92650276,0.9248508,0.9044553,0.9156194,0.91920197,0.9175983,0.9177184,0.9086984,0.90278643,0.915749,0.9129328,0.87910885,0.91685873,0.892255,0.9173452,0.91376156,0.9169232,0.897983,0.90817404,0.8997841,0.9201045,0.916403,0.89808583,0.9116696,0.89099646,0.91699874,0.9243159,0.90286165,0.8937148,0.9078612,0.9118741,0.89949375,0.909222,0.91311496,0.8924619,0.8834205,0.91523695,0.90438527,0.9062259,0.91794765,0.9080412,0.9135704,0.9065196,0.9103767,0.90645343,0.9176594,0.90487975,0.9040409,0.91828763,0.92051524,0.8927334,0.91455233,0.9209838,0.90392715,0.91857255,0.9128123,0.9261487,0.92457193,0.91367495,0.9202143,0.8806616,0.91626775,0.8872031,0.90456104,0.87392294,0.9229913,0.9218157,0.89908886,0.9157494,0.92034006
SIDM01037,0.919998,0.9190232,0.91818297,0.92652583,0.92590964,0.91876996,1.0,0.8991106,0.92727804,0.9042655,0.92008716,0.92735326,0.9276984,0.919627,0.9168486,0.9376378,0.9113847,0.9281024,0.9170219,0.9182846,0.91491055,0.9158114,0.88877726,0.91435665,0.92409444,0.92211694,0.93180114,0.9377786,0.9124768,0.9165631,0.91734564,0.92217493,0.921347,0.92465746,0.9121025,0.9362091,0.9106125,0.8971145,0.928626,0.9274026,0.9194359,0.92492765,0.9280413,0.9121284,0.9185631,0.9131882,0.9282812,0.92105013,0.91541505,0.8999312,0.9237197,0.9147624,0.89879376,0.93726766,0.92911613,0.9334228,0.9271286,0.9137279,0.91323256,0.9234396,0.9237436,0.9268565,0.91596985,0.9095336,0.91869867,0.91399693,0.8805669,0.9269267,0.894033,0.92287445,0.91319734,0.9233195,0.9006177,0.9123471,0.90597,0.9245651,0.92232406,0.90121907,0.91743314,0.89723724,0.9227519,0.931603,0.9020425,0.90108156,0.90541434,0.9150535,0.90554726,0.9123314,0.91552734,0.89459276,0.88688767,0.9213521,0.90783477,0.91116494,0.9236577,0.91229326,0.91894454,0.91199625,0.9164485,0.9153316,0.9218837,0.9089007,0.90728515,0.9259597,0.9211279,0.89212084,0.91672564,0.91939104,0.90424556,0.9231675,0.91932803,0.9333766,0.92647856,0.921505,0.92839825,0.88255835,0.92457694,0.88847923,0.90839875,0.8756211,0.9240756,0.92909604,0.90038496,0.92411286,0.91961074
SIDM01188,0.896973,0.8981021,0.8961258,0.9018812,0.9033872,0.89463997,0.8991106,1.0,0.901119,0.88840306,0.8929013,0.90069586,0.90160924,0.8965902,0.895583,0.90558094,0.89140004,0.9012144,0.8984664,0.8943048,0.8916947,0.8942067,0.8734062,0.895051,0.9000143,0.90255517,0.9022699,0.90710855,0.8904612,0.8943409,0.89511174,0.901423,0.89757025,0.8986493,0.8916872,0.90623677,0.8892333,0.87826025,0.90234375,0.9004733,0.8962916,0.8983381,0.89981025,0.889964,0.89587086,0.89431834,0.9003329,0.89603454,0.8942555,0.88040495,0.89671654,0.8906361,0.8799204,0.90760607,0.9026299,0.9044705,0.8998511,0.88764155,0.89118475,0.901265,0.90076447,0.8990583,0.893852,0.88856894,0.8959652,0.8908844,0.8667284,0.9000055,0.8785679,0.9040496,0.8905904,0.8964387,0.88253224,0.89139014,0.8831538,0.8997028,0.89672536,0.8899022,0.89527506,0.87845844,0.8969733,0.90260476,0.8820036,0.8806868,0.8858401,0.89277524,0.8837452,0.88937765,0.8924637,0.87963927,0.8710914,0.89518785,0.88842887,0.8963718,0.89888644,0.88984144,0.8982834,0.8934649,0.8948574,0.8929729,0.89864844,0.8906207,0.89055514,0.90068126,0.8964626,0.87669533,0.8920637,0.89563715,0.8887851,0.8993457,0.8965988,0.9074507,0.8971605,0.89488405,0.90136546,0.8675298,0.9008275,0.873241,0.8873568,0.8631377,0.89651656,0.90373,0.88205427,0.8959148,0.8948794
SIDM01002,0.9224563,0.91956735,0.92030776,0.9278832,0.92793673,0.92568624,0.92727804,0.901119,1.0,0.9058954,0.9241598,0.9298613,0.92963177,0.9208458,0.9221599,0.93923265,0.91800725,0.92919314,0.92209864,0.9200584,0.92078143,0.9161464,0.89382714,0.9137744,0.9272373,0.92498714,0.93484783,0.93990666,0.9155745,0.9174335,0.9214574,0.925584,0.92400986,0.9283323,0.91328394,0.9377099,0.9162159,0.8997126,0.93131423,0.9292138,0.92319494,0.92804146,0.9346938,0.9118685,0.91889745,0.9166925,0.9311229,0.9230566,0.9191934,0.90061116,0.9301136,0.918671,0.90411365,0.9395259,0.931727,0.93743855,0.9348663,0.91139114,0.91908306,0.9284318,0.92504543,0.9271243,0.9162987,0.90931886,0.92141545,0.91948086,0.881406,0.92663383,0.89738846,0.9264367,0.91882926,0.9251047,0.9021642,0.9145711,0.90609396,0.929615,0.9235671,0.90362656,0.91877526,0.89564097,0.92447853,0.93412495,0.9078145,0.8997065,0.9137729,0.91841143,0.9058678,0.9148726,0.91892624,0.89767677,0.88805145,0.923116,0.90902525,0.9131162,0.92703754,0.91461563,0.9216378,0.91349614,0.91827345,0.913494,0.9249466,0.91208833,0.91053283,0.92786753,0.9292966,0.8968051,0.92172205,0.92689145,0.91022617,0.92761797,0.91985947,0.93709886,0.9308088,0.92183757,0.9297895,0.8855609,0.9256201,0.89039207,0.9107921,0.87829876,0.9278631,0.9308112,0.9036882,0.9240412,0.9268447
SIDM00833,0.9107696,0.9028599,0.9008602,0.9049147,0.90987116,0.9013289,0.9042655,0.88840306,0.9058954,1.0,0.9037237,0.9110017,0.9151956,0.9115611,0.898634,0.90817803,0.8947569,0.9070016,0.90178746,0.9016392,0.8974527,0.89808446,0.878827,0.9042732,0.91228503,0.90599114,0.9161613,0.91128224,0.9059706,0.8989572,0.9032948,0.90702957,0.91084754,0.9092712,0.90405715,0.91139257,0.8955085,0.8892803,0.9095873,0.90604204,0.9074499,0.9084328,0.9057518,0.894569,0.9015681,0.9039853,0.91112804,0.9048458,0.9033991,0.89033365,0.9044638,0.9038085,0.88576186,0.91154623,0.90656984,0.9117583,0.9081383,0.8930544,0.89800954,0.9057705,0.9049087,0.90408343,0.91175634,0.8932748,0.90218174,0.896062,0.8700898,0.9046522,0.884438,0.90576655,0.9033357,0.90477407,0.8903791,0.9033235,0.88797504,0.9067753,0.90194726,0.9058816,0.9033145,0.88440144,0.9085463,0.9134102,0.89409554,0.8831297,0.8907487,0.8986289,0.89551884,0.9020487,0.8981202,0.8902591,0.8794467,0.90134126,0.8922873,0.909118,0.9094932,0.8954202,0.9054779,0.9070542,0.90645355,0.8992501,0.9136275,0.8969902,0.8955273,0.91333616,0.90203893,0.8817781,0.8984404,0.9024955,0.89343196,0.90651304,0.9031745,0.91017276,0.9094878,0.9057322,0.9071643,0.8724188,0.90968287,0.8800001,0.8929781,0.8670459,0.90413654,0.9086922,0.8924885,0.90331674,0.9022766
