drug_name,targets,shared_by,shared_by_cid,shared_by_smiles
D00STL,T38284,D0D5EW,5311104,CC1=C(C=CC(=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl)F
D00STL,T38284,D03NPX,447077,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC
D00STL,T38284,D0AW4W,11537051,COC1=CC=C(C=C1)C2=CC=CC=C2C3=CC(=CC(=C3)OC)OC
D00STL,T38284,D0PI0R,11609210,COC1=CC(=CC(=C1)C2=CC=CC=C2C3=CC=C(C=C3)O)OC
D00STL,T38284,D0H4YH,11594901,COC1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC(=CC(=C3)OC)OC
D00STL,T38284,D0QG6G,11493254,COC1=CC(=CC(=C1)C2=CC=CC(=C2)C3=CC=C(C=C3)O)OC
D00STL,T38284,D00AII,5281727,COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC
D00STL,T38284,D05YAD,24856901,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)NCCCCCCC(=O)NO)C
D00STL,T38284,D0Y4EU,24756907,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)NCCNCCCCCC(=O)NO)C
D00STL,T38284,D0WL1U,24826799,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5
D00STL,T38284,D0Z1RJ,387042,C1C2CC3CC1CC(C2)(C3)OC(=O)C4=CC=C(C=C4)NCC5=C(C=CC(=C5)O)O
D00STL,T38284,DL8T4I,89884852,CC1=C(C(=CC=C1)Cl)C(=O)NNC(=O)C2=CC(=C(C=C2)C)C#CC3=CC4=CC=CC=C4N=C3
D00STL,T38284,D0G0VV,11387605,CC1=C(C=C(C=C1)NC(=O)C2=CC(=C(C=C2)CN3CCC(C3)N(C)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CN=C5
D00STL,T38284,DH5RN1,51038269,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CC5=C(NN=C5)N=C4
