,BARCODE,COMBI_ID,Tissue,CELL_LINE_NAME,SIDM,COSMIC_ID,ANCHOR_ID,ANCHOR_NAME,ANCHOR_TARGET,ANCHOR_PATHWAY,ANCHOR_DRUG_TYPE,ANCHOR_Clin_Rel,ANCHOR_CONC,LIBRARY_ID,LIBRARY_NAME,LIBRARY_TARGET,LIBRARY_PATHWAY,LIBRARY_DRUG_TYPE,LIBRARY_Clin_Rel,LIBRARY_CONC,ANCHOR_VIABILITY,LIBRARY_RMSE,LIBRARY_EMAX,LIBRARY_XMID,LIBRARY_XMID_uM,LIBRARY_AUC,LIBRARY_fAUC,SYNERGY_RMSE,SYNERGY_EXP_EMAX,SYNERGY_OBS_EMAX,SYNERGY_DELTA_EMAX,SYNERGY_XMID,SYNERGY_XMID_uM,SYNERGY_DELTA_XMID,SYNERGY_DELTA_XMID_uM,SYNERGY_EXP_AUC,SYNERGY_OBS_AUC,SYNERGY_EXP_fAUC,SYNERGY_OBS_fAUC,SYNERGY_DELTA_AUC,SYNERGY_DELTA_fAUC,Synergy,DAY1_NORM_MEAN,DAY1_NORM_SD,GROWTH_RATE,DOUBLING_TIME
2168,38107,1564:1011,Pancreas,PL4,SIDM00042,1298533,1564,SCH772984,"ERK1, ERK2",ERK MAPK signaling,Targeted,Experimental only,4.0,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,10.0,0.658917565930479,0.10156612677526,0.185289021347006,5.88970508543465,1.158,0.668657259808303,0.653686403489876,0.0792432289955204,0.12209019093961,0.0459427712873242,0.0761474196522857,3.55840502602194,0.2301,2.33130005941271,0.9279,0.440590014074631,0.292929557734914,0.430725453869399,0.305315628189177,0.147660456339717,0.125409825680222,True,0.369015225346918,0.0622468248261796,0.923654642499215,52.4604517987161
2169,38107,1561:1011,Pancreas,PL4,SIDM00042,1298533,1561,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling,Targeted,Advanced clinical trials,0.5,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,10.0,0.771118686287883,0.10156612677526,0.185289021347006,5.88970508543465,1.158,0.668657259808303,0.653686403489876,0.0647489454191569,0.142879826724671,0.0436597642013355,0.0992200625233353,3.09172258358259,0.1665,2.79798250185206,0.9915,0.515614107760234,0.311058544334802,0.504069800703365,0.327660421395395,0.204555563425432,0.176409379307969,True,0.369015225346918,0.0622468248261796,0.923654642499215,52.4604517987161
2170,38112,1011:1083,Pancreas,PL4,SIDM00042,1298533,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,4.0,1083,Crizotinib,"MET, ALK, ROS1",RTK signaling,Targeted,FDA approved,8.0,0.331590318189735,0.0756269295275551,0.53579208383472,9.30120448333484,9.8574,0.854559251698018,0.87049330660716,0.068125009761096,0.177663467562296,0.0591416038396921,0.118521863722604,5.79183507646319,0.8656,3.50936940687165,8.9918,0.283363574182528,0.178820790157866,0.288647152519903,0.214221136483351,0.104542784024661,0.0744260160365512,True,0.369015225346918,0.0622468248261796,0.923654642499215,52.4604517987161
2171,38112,1372:1085,Pancreas,PL4,SIDM00042,1298533,1372,Trametinib,"MEK1, MEK2",ERK MAPK signaling,Targeted,FDA approved,1.0,1085,Sorafenib,"PDGFR, KIT, VEGFR, RAF","Other, kinases",Targeted,FDA approved,10.0,0.683639229212901,0.116697392446392,0.613972375599047,9.9746021028812,19.651,0.902452436337357,0.898675239548746,0.0494448758394862,0.419735601612547,0.526497388533444,-0.106761786920898,11.5394070492163,58.135,-1.56480494633511,-38.484,0.616951887978976,0.642817543414248,0.614369648077824,0.646504203552839,-0.0258656554352727,-0.032134555475015,True,0.369015225346918,0.0622468248261796,0.923654642499215,52.4604517987161
2172,38112,1558:1085,Pancreas,PL4,SIDM00042,1298533,1558,Lapatinib,"EGFR, ERBB2",EGFR signaling,Targeted,FDA approved,10.0,1085,Sorafenib,"PDGFR, KIT, VEGFR, RAF","Other, kinases",Targeted,FDA approved,10.0,0.811799384518815,0.116697392446392,0.613972375599047,9.9746021028812,19.651,0.902452436337357,0.898675239548746,0.0938038506837399,0.498422396622861,0.199790955084115,0.298631441538747,6.64882379972716,1.9599,3.32577830315404,17.6911,0.732610332376172,0.578895240893211,0.72954400634797,0.577174200254071,0.153715091482961,0.1523698060939,True,0.369015225346918,0.0622468248261796,0.923654642499215,52.4604517987161
2173,38415,1594:1168,Pancreas,PL4,SIDM00042,1298533,1594,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling,Targeted,Early clinical trials,4.0,1168,Erlotinib,EGFR,EGFR signaling,Targeted,FDA approved in pancreas,10.0,0.382238404571905,0.0350050810239685,0.925352937945857,14.2871777805654,390.4803,0.982202899213153,0.983851126618838,0.0471218505170678,0.35370543066635,0.271838271935577,0.0818671587307732,10.8925267732557,37.1285,3.39465100730969,353.3518,0.375435669161136,0.343067142380742,0.376065684975056,0.355154535230072,0.0323685267803941,0.020911149744984,True,0.460000596625353,0.0739947369785051,0.724395516121771,66.6564022500615
2174,38415,1079:1168,Pancreas,PL4,SIDM00042,1298533,1079,Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",Targeted,FDA approved,0.5,1168,Erlotinib,EGFR,EGFR signaling,Targeted,FDA approved in pancreas,10.0,0.68094885650096,0.0350050810239685,0.925352937945857,14.2871777805654,390.4803,0.982202899213153,0.983851126618838,0.0913365376825192,0.630118024954035,0.404723728397788,0.225394296556247,9.80227126660557,17.4384,4.48490651395981,373.0419,0.668829941071124,0.546543328630714,0.669952299638279,0.607372520114722,0.122286612440411,0.0625797795235564,True,0.460000596625353,0.0739947369785051,0.724395516121771,66.6564022500615
2175,38416,1011:1372,Pancreas,PL4,SIDM00042,1298533,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,4.0,1372,Trametinib,"MEK1, MEK2",ERK MAPK signaling,Targeted,FDA approved,1.0,0.645874211930469,0.102333639391726,0.301516587966998,7.23560857016401,0.2944,0.727391209915484,0.752315892361432,0.0993168572255812,0.194741788637149,0.0359555932264471,0.158786195410701,3.05410648057082,0.0162,4.18150208959319,0.2782,0.469803224469314,0.257892189414117,0.485901434101708,0.272454421202948,0.211911035055197,0.21344701289876,True,0.460000596625353,0.0739947369785051,0.724395516121771,66.6564022500615
2176,38416,1561:1372,Pancreas,PL4,SIDM00042,1298533,1561,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling,Targeted,Advanced clinical trials,0.5,1372,Trametinib,"MEK1, MEK2",ERK MAPK signaling,Targeted,FDA approved,1.0,0.794566951022561,0.102333639391726,0.301516587966998,7.23560857016401,0.2944,0.727391209915484,0.752315892361432,0.0647130412308425,0.239575115983663,0.079957866707601,0.159617249276062,4.39995727179144,0.0412,2.83565129837257,0.2532,0.577961015863158,0.41543047384169,0.597765344799441,0.423657240768939,0.162530542021468,0.174108104030502,True,0.460000596625353,0.0739947369785051,0.724395516121771,66.6564022500615
2177,38417,1080:1510,Pancreas,PL4,SIDM00042,1298533,1080,Paclitaxel,Microtubule stabiliser,Mitosis,Chemotherapeutic,FDA approved in pancreas,0.025,1510,Linsitinib,IGF1R,IGF1R signaling,Targeted,Advanced clinical trials,10.0,0.617099122737561,0.0716094509016992,0.865344605555427,12.9073238049859,150.045,0.94757532105539,0.969903996567565,0.0959851279279997,0.534003396953935,0.337872223348273,0.196131173605662,9.40039811389034,13.1987,3.50692569109555,136.8463,0.584747899351044,0.455106449640003,0.598526905421499,0.539942277575897,0.129641449711041,0.0585846278456019,True,0.460000596625353,0.0739947369785051,0.724395516121771,66.6564022500615
